crime;politicians;property;severe;minor
Brandstiftung;0;1;1;0
Diebstahl;0;1;1;0
Sachbeschadigung;0;1;1;0
Verstoss gegen das Kunsturhebergesetz;1;0;0;1
Verleumdung;1;0;0;1
Sachbeschädigung;0;1;1;0
Verunglimpfung des Bundespräsidenten;1;0;0;1
Verwenden von Kennzeichen verfassungswidriger Organisationen;0;0;0;1
Uble Nachrede;1;0;0;1
Volksverhetzung;0;0;1;0
Besonders schwerer Fall des Diebstahls;1;0;0;1
Verleumdung von Personen des politischen LebensLebens;1;0;0;1
Besonders schwerer Fall des Diebstahls Besonders schwerer Fall des Diebstahls;1;0;0;1
Üble Nachrede;1;0;0;1
Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;0;0;0;1
Verunglimpfung des Andenkens Verstorbener Bundesprasidenten;1;0;0;1
Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;1;0;0;1
Üble Nachrede und Verleumdung gg. Personen des öffentlichen Lebens;1;0;0;1
Diebstahl und Unterschlagung geringwertiger Sachen;0;1;0;1
Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;1;0;0;1
Landfriedensbruch;0;1;0;1
Gemeinschädliche Sachbeschädigung;0;1;0;1
Diebstahl geringwertiger Sachen;0;1;0;1
Ausspahen von Daten;1;0;0;1
Uble Nachrede Verleumdung gegen Personen des Verleumdung von Personen des politischen LebensLebens;1;0;0;1
Gemeinschadliche Sachbeschadigung Sachbeschadigung Sachbeschadigung;0;1;0;1
Gemeinschadliche Sachbeschadigung Sachbeschadigung;0;1;0;1
Öffentliche Aufforderung zu Straftaten;0;0;0;1
Uble Nachrede Verleumdung;1;0;0;1
Androhung von Straftaten;1;0;0;1
Ausspähen von Daten;1;0;0;1
Straftaten;0;0;0;0
Storung des offentlichen Friedens offentlichen Friedens;0;0;0;1
Verstoß gegen das Versammlungsgesetz;0;0;0;0
offentliche Aufforderung zu Straftaten;0;0;0;1
Üble Nachrede und Verleumdung gegen Personen des politischen Lebens;1;0;0;1
Vortauschen einer Straftat;0;0;0;1
Wohnungseinbruchsdiebstahl;0;1;0;1
Gefahrlicher Eingriff in den Strassenverkehr;1;0;0;1
Gemeinschadliche Sachbeschadigung;0;1;0;1
Beleidung;1;0;0;1
PRESSEG;0;0;0;1
Verstoß gegen das Versammlungsgesetz gegen das Verstoß gegen das Versammlungsgesetz;0;0;0;0
offentliche Aufforderung zu Straftaten Aufforderungen zu Straftaten;0;0;0;1
Verletzung des hochstpersonlichen Lebensbereichs;1;0;0;1
Verleumdung ohne sexuelle Grundlage;1;0;0;1
Besonders schwerer Fall des Diebstahls des Landfriedensbruch;0;1;1;0
Verunglimpfung des Andenkens Verstorbener;0;0;0;1
Kunsturhebergesetz;0;0;0;1
Verstoß VersG;0;0;0;1
BDSG;0;0;0;1
Kunst urhebergesetz;0;0;0;1
Störung des öffentlichen Friedens;0;0;0;1
Bes. schwerer Fall des Landfriedensbruchs;0;1;1;0
NA;0;0;0;0
KUG;1;0;0;1
Gefährlicher Eingriff in den Straßenverkehr;0;0;1;0
Verleumdung ohne Verleumdung ohne sexuelle Grundlage;1;0;0;1
Schwere Brandstiftung;0;1;1;0
"Öffentliche Aufforderung zu
Straftaten";0;0;0;1
Verunglimpfung des Staates und seiner Symbole;0;0;0;1
Korperverletzung;1;0;1;0
Storung des offentlichen Friedens;0;0;0;1
Urhebergesetz;0;0;0;1
Beleidigung;1;0;0;1
Notigung;1;0;1;0
"Diebstahl mit Waffen;";1;0;1;0
Nötigung;1;0;1;0
Bedrohung;1;0;1;0
Hausfriedensbruch;1;0;1;0
Gefährliche Eingriffe in den Straßenverkehr;1;0;1;0
Fälschung beweiserheblicher Daten;0;0;0;0
Bes. schwerer Diebstahl;0;1;1;0
Herbeifuhren einer Sprengstoffexplosion;0;0;1;0
Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen;;;;
Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen;0;0;0;1
SachbeschRligung;0;1;0;1
Verwenden von Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;0;0;0;1
Belohnung und Billigung von Straftaten;0;0;0;1
Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr in;1;0;1;0
Herbeiführen einer Sprengstoffexplosion;0;0;1;0
Gefahrliche Korperverletzung Korperverletzung;1;0;1;0
Wahlbehinderung;0;0;0;1
Urkundenfälschung;0;0;0;1
Widerstand gegen Vollstreckungsbeamte;0;0;0;1
Gefahrliche Korperverletzung;1;0;1;0
Erpressung;1;0;1;0
Gefahrliche Korperverletzung Korperverletzung Korperverletzung;1;0;1;0
Körperverletzung;1;0;1;0
Gefährliche Körperverletzung;1;0;1;0
Verunglimpfung des Andenkens Verstorbener Andenkens Verstorbener;0;0;0;1
Falschung beweiseerheblicher Daten;0;0;0;0
Diebstahl und Unterschlagung geringwertiger Güter;0;0;0;0
Verfassungsfeindlich e Verunglimpfung von Verfassungsorganen;0;0;0;1
Gefahrliche Korperverletzung Korperverletzung den Strassenverkehr;1;0;1;0
Störung des öffentlichen Friedens durch Androhung von Straftaten;1;0;1;0
Datenveranderung;0;0;0;0
Verstoß gegen das Versammlungsgesetz gegen das Verstoss gegen das Kunsturhebergesetz;0;0;0;0
Misshandlung von Schutzbefohlenen;0;0;1;0
Flausfriedensbruch;0;1;0;1
Schwere Gefahrdung durch Freisetzen von Giften;1;0;1;0
Bes. schw. Fall des Diebstahls;0;1;1;0
Storung des offentlichen Friedens durch Androhung von Straftaten Straftaten;1;0;1;0
Verunglimpfung staatlicher Symbole;0;0;0;1
Schwerer Diebstahl;0;1;0;1
Verstoß gegen das Versammlungsgesetz gegen das Urhebergesetz;0;0;0;1
Nachstellung;1;0;1;0
Rauberischer Diebstahl;1;1;1;0
Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr;1;0;1;0
Schwere Korperverletzung;1;0;1;0
Mord;1;0;1;0
Raub;1;0;1;0
Billigung von Straftaten;0;0;0;1
Wahlfalschung;0;0;0;1
Körperverletzung;1;0;1;0
Herbeifuhren einer Sprengstoffexplosion Sprengstoffexplosion;1;0;1;0