crime;law;n;politicians;property;severe;minor;
Öffentliche Aufforderung zu Straftaten;§ 111 StGB;12;0;0;0;1;
Hausfriedensbruch;§ 123 StGB;2;1;0;1;0;
Störung des öffentlichen Friedens;§ 126 StGB;28;0;0;0;1;
Störung des öffentlichen Friedens durch Androhung von Straftaten;§ 126 StGB;12;1;0;1;0;
Volksverhetzung;§ 130 StGB;42;0;0;1;0;
Beleidigung;§ 185 StGB;295;1;0;0;1;
Beleidung;§ 185 StGB;2;1;0;0;1;
Üble Nachrede;§ 186 StGB;17;1;0;0;1;
Verleumdung;§ 187 StGB;24;1;0;0;1;
Üble Nachrede;§ 188 StGB;18;1;0;0;1;
Üble Nachrede und Verleumdung gegen Personen des politischen Lebens;§ 188 StGB;12;1;0;0;1;
Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;§ 188 StGB;12;1;0;0;1;
Verunglimpfung des Andenkens Verstorbener;§ 189 StGB;4;0;0;0;1;
Ausspähen von Daten;§ 202a StGB;4;1;0;0;1;
Mord;§ 211 StGB;2;1;0;1;0;
Körperverletzung;§ 223 StGB;10;1;0;1;0;
Gefährliche Körperverletzung;§ 224 StGB;12;1;0;1;0;
Nötigung;§ 240 StGB;19;1;0;1;0;
Bedrohung;§ 241 StGB;107;1;0;1;0;
Diebstahl;§ 242 StGB;116;0;1;1;0;
Bes. schw. Fall des Diebstahls;§ 243 StGB;2;1;0;1;0;
Bes. schwerer Diebstahl;§ 243 StGB;6;1;0;1;0;
Besonders schwerer Fall des Diebstahls;§ 243 StGB;16;1;0;1;0;
Erpressung;§ 253 StGB;2;1;0;1;0;
Fälschung beweiserheblicher Daten;§ 269 StGB;2;0;0;0;1;
Sachbeschädigung;§ 303 SGB;2;0;1;1;0;
Sachbeschädigung;§ 303 StGB;1218;0;1;1;0;
Gemeinschädliche Sachbeschädigung;§ 304 StGB;6;0;1;0;1;
Brandstiftung;§ 306 StGB;23;0;1;1;0;
Schwere Brandstiftung;§ 306a StGB;2;0;1;1;0;
Herbeiführen einer Sprengstoffexplosion;§ 308 StGB;6;1;0;1;0;entsprechend 308
Verwenden von Kennzeichen verfassungswidriger Organisationen;§ 86a StGB;12;0;0;1;0;
Verwenden von Kennzeichen verfassungswidriger Organisationen;§ 86A StGB;12;0;0;1;0;
Volksverhetzung;§ 86a StGB;91;0;0;1;0;
"Öffentliche Aufforderung zu
Straftaten";§111 StGB;2;0;0;0;1;
Öffentliche Aufforderung zu Straftaten;§111 StGB;44;0;0;0;1;
Störung des öffentlichen Friedens;§126 StGB;4;0;0;0;1;
Volksverhetzung;§130 StGB;21;0;0;1;0;
Belohnung und Billigung von Straftaten;§140 StGB;2;0;0;0;1;
Beleidigung;§185 StGB;197;1;0;0;1;
Üble Nachrede;§186 StGB;4;1;0;0;1;
Verleumdung;§187 StGB;18;1;0;0;1;
Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;§188 StGB;27;1;0;0;1;
Körperverletzung;§223 StGB;2;1;0;1;0;
Körperverletzung;§223 StGB;2;1;0;1;0;
Nachstellung;§238 StGB;8;1;0;1;0;
Nötigung;§240 StGB;22;1;0;1;0;
Bedrohung;§241 StGB;32;1;0;1;0;
Diebstahl;§242 StGB;4;0;1;1;0;
Sachbeschädigung;§303 StGB;213;0;1;1;0;
Gemeinschädliche Sachbeschädigung;§304 StGB;6;0;1;0;1;
Gefährliche Eingriffe in den Straßenverkehr;§315B StGB;4;1;0;1;0;
Verwenden von Kennzeichen verfassungswidriger Organisationen;§86A StGB;35;0;0;1;0;
Verunglimpfung des Staates und seiner Symbole;§90 A StGB;4;0;0;1;0;
Verfassungsfeindlich e Verunglimpfung von Verfassungsorganen;§90B StGB;3;0;0;1;0;
Wahlfalschung;107a StGB;6;0;0;0;1;
Verletzung des hochstpersonlichen Lebensbereichs;107c StGB;2;1;0;1;0;
offentliche Aufforderung zu Straftaten;111 StGB;28;0;0;0;1;
offentliche Aufforderung zu Straftaten Aufforderung zu Straftaten;111 StGB;8;0;0;0;1;ergaenzt
offentliche Aufforderung zu Straftaten Aufforderung zu Strafttaten;111 StGB;2;0;0;0;1;ergaenzt
offentliche Aufforderung zu Straftaten Aufforderungen zu Straftaten;111 StGB;24;0;0;0;1;
Widerstand gegen Vollstreckungsbeamte;113 StGB;3;0;0;0;1;
Tatlicher Angriff auf Vollstreckungsbeamte;114 StGB;1;1;0;1;0;
Hausfriedensbruch;123 StGB;18;1;0;1;0;
Landfriedensbruch;125 StGB;4;0;1;0;1;
Besonders schwerer Fall des Diebstahls des Landfriedensbruch;125a StGB;2;0;1;1;0;
Androhung von Straftaten;126 StGB;6;1;0;1;0;
Storung des offentlichen Friedens;126 StGB;4;0;0;0;1;
Storung des offentlichen Friedens durch Androhung von Straftaten Straftaten;126 StGB;11;1;0;1;0;
Volksverhetzung;130 StGB;72;0;0;1;0;
Anleitung zu Straftaten;130a StGB;1;0;0;0;1;
Belohnung und Billigung von Straftaten;140 StGB;2;0;0;0;1;
Vortauschen einer Straftat;145d StGB;2;0;0;0;1;
Falsche Verdachtigung;164 StGB;1;1;0;0;1;
Beleidigung;185 StGB;450;1;0;0;1;
Uble Nachrede;186 StGB;19;1;0;0;1;
Verleumdung;187 StGB;41;1;0;0;1;
Uble Nachrede;188 StGB;57;1;0;0;1;
Uble Nachrede Verleumdung;188 StGB;2;1;0;0;1;
Uble Nachrede Verleumdung gegen Personen des offentlichen Lebens;188 StGB;1;1;0;0;1;ergaenzt
Uble Nachrede Verleumdung gegen Personen des Verleumdung von Personen des politischen LebensLebens;188 StGB;9;1;0;0;1;
Verletzung des hochstpersonlichen Lebensbereichs;201a StGB;2;1;0;0;1;
Verletzung des hochstpersonlichen Lebensbereichs hochstpersonlichen;201a StGB;1;1;0;0;1;ergaenzt
Verletzung des hochstpersonlichen Lebensbereichs Briefgeheimnisses;202 StGB;1;1;0;0;1;ergaenzt
Korperverletzung;223 StGB;72;1;0;1;0;
Gefahrliche Korperverletzung;224 StGB;4;1;0;1;0;
Gefahrliche Korperverletzung Korperverletzung;224 StGB;20;1;0;1;0;
Gefahrliche Korperverletzung Korperverletzung Korperverletzung;224 StGB;17;1;0;1;0;
Schwere Korperverletzung;226 StGB;2;1;0;1;0;
Notigung;240 StGB;41;1;0;1;0;
Bedrohung;241 StGB;93;1;0;1;0;
Diebstahl;242 StGB;1115;0;1;1;0;
Besonders schwerer Fall des Diebstahls;243 StGB;36;1;0;1;0;
Besonders schwerer Fall des Diebstahls Besonders schwerer Fall des Diebstahls;243 StGB;28;1;0;1;0;
"Diebstahl mit Waffen;";244 StGB;2;1;0;1;0;
"Diebstahl mit Waffen; Bandendiebstahl; Wohnungseinbruchsdiebstahlbstal";244 StGB;2;1;0;1;0;entsprechend 244
Wohnungseinbruchsdiebstahl;244 StGB;2;1;0;1;0;
Diebstahl und Unterschlagung geringwertiger Sachen;248a StGB;134;0;1;0;1;
Diebstahl und Unterschlagung geringwertiger Sachen Unterschlagung;248a StGB;10;0;1;0;1;
Raub;249 StGB;2;1;0;1;0;
Rauberischer Diebstahl;252 StGB;2;1;0;1;0;
Erpressung;253 StGB;2;1;0;1;0;
Rauberische Erpressung;255 StGB;1;1;0;1;1;
Strafvereitelung;258 StGB;1;0;0;0;1;
Urkundenfalschung;267 StGB;1;0;0;0;1;
Falschung beweiseerheblicher Daten;269 StGB;2;0;0;0;1;
Sachbeschadigung;303 StGB;4895;0;1;1;0;
Datenveranderung;303a StGB;2;0;0;0;1;
Gemeinschadliche Sachbeschadigung;304 StGB;4;0;1;0;1;
Gemeinschadliche Sachbeschadigung Sachbeschadigung;304 StGB;19;0;1;0;1;
Gemeinschadliche Sachbeschadigung Sachbeschadigung Sachbeschadigung;304 StGB;25;0;1;0;1;
Brandstiftung;306 StGB;16;0;1;1;0;
Schwere Brandstiftung;306a StGB;4;0;1;1;0;
Herbeifuhren einer Sprengstoffexplosion;308 StGB;6;1;0;1;0;
Gefahrliche Korperverletzung Korperverletzung den Strassenverkehr;315b StGB;6;1;0;1;0;
Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr in;315b StGB;2;1;0;1;0;
Schwere Gefahrdung durch Freisetzen von Giften;330a StGB;2;1;0;1;0;
Verstoß gegen das Versammlungsgesetz gegen das Verstoss gegen das Kunsturhebergesetz;86a StGB;3;0;0;1;0;
Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;86a StGB;359;0;0;1;0;
Verwenden von Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;86a StGB;96;0;0;1;0;
Verunglimpfung des Andenkens Verstorbener Bundesprasidenten;90 StGB;2;1;0;0;1;
Verunglimpfen des Staates und seiner Symbole;90a StGB;1;0;0;1;0;
Verunglimpfung des Andenkens Verstorbener;90a StGB;4;0;0;1;0;
Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;90b StGB;5;0;0;1;0;
BDSG;BDSG;4;0;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Bundesdatenschutzgesetz;BDSG;1;0;0;0;1;
KUG;KUG;2;1;0;0;1;
Kunst urhebergesetz;KUG;2;1;0;0;1;
Kunsturhebergesetz;KUG;6;1;0;0;1;
NA;KUG;6;1;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Verstoss gegen das Kunsturhebergesetz;KUG;7;1;0;0;1;
Verstoss gegen das Kunsturhebergesetz;KUG;4;1;0;0;1;
Verstoss gegen das Kunsturhebergesetz;Kunsturheberges;11;1;0;0;1;
NA;Kunsturhebergesetz (Kunst-UrhG);2;1;0;0;1;
NA;LDSG;2;0;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Markengesetz;MarkenG;1;0;0;0;1;
NA;NA;8468;NA;NA;NA;NA;
PRESSEG;PRESSEG;2;0;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Sprengstoffgesetz;SprengG;1;0;0;1;0;
Billigung von Straftaten;STG B-140;2;0;0;0;1;
Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen;STG B-166;2;0;0;0;1;
Beleidigung;STG B-185;6;1;0;0;1;
Uble Nachrede;STG B-186;2;1;0;0;1;
Diebstahl;STG B-242;16;0;1;1;0;
Sachbeschadigung;STG B-303;205;0;1;1;0;
Brandstiftung;STG B-306;2;0;1;1;0;
Wahlbehinderung;STGB-107;4;1;0;0;1;
Öffentliche Aufforderung zu Straftaten;STGB-111;14;0;0;0;1;
Straftaten;STGB-111;9;0;0;0;1;
Flausfriedensbruch;StGB-123;4;1;0;1;0;Entsprechend Hausfriedensbruch gecoded
Hausfriedensbruch;StGB-123;2;1;0;1;0;
Hausfriedensbruch;STGB-123;10;1;0;1;0;
Bes. schwerer Fall des Landfriedensbruchs;STGB-125A;2;0;1;1;0;
Storung des offentlichen Friedens offentlichen Friedens;STGB-126;2;0;0;0;1;
Straftaten;STGB-126;2;0;0;0;1;
Volksverhetzung;STGB-130;27;0;0;1;0;
Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen;STGB-132A;2;0;0;0;1;
Billigung von Straftaten;STGB-140;2;0;0;0;1;
Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen;STGB-166;4;0;0;0;1;
Üble Nachrede;STGB-185;2;1;0;0;1;
Beleidigung;STGB-185;215;1;0;0;1;
Üble Nachrede;STGB-186;10;1;0;0;1;
Uble Nachrede;STGB-186;6;1;0;0;1;
Verleumdung;STGB-187;12;1;0;0;1;
Verleumdung ohne sexuelle Grundlage;STGB-187;6;1;0;0;1;
Verleumdung ohne Verleumdung ohne sexuelle Grundlage;STGB-187;2;1;0;0;1;
Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;STGB-188;20;1;0;0;1;
Üble Nachrede und Verleumdung gg. Personen des öffentlichen Lebens;STGB-188;4;1;0;0;1;
Verleumdung von Personen des politischen LebensLebens;STGB-188;10;1;0;0;1;
Verunglimpfung des Andenkens Verstorbener Andenkens Verstorbener;STGB-189;4;0;0;0;1;
Ausspahen von Daten;STGB-202A;4;1;0;0;1;
Körperverletzung;STGB-223;4;1;0;1;0;
Korperverletzung;STGB-223;12;1;0;1;0;
Gefährliche Körperverletzung;StGB-224;2;1;0;1;0;
Gefährliche Körperverletzung;STGB-224;8;1;0;1;0;
Gefahrliche Korperverletzung;STGB-224;4;1;0;1;0;
Korperverletzung;STGB-224;10;1;0;1;0;
Nachstellung;STGB-238;2;1;0;1;0;
Nötigung;STGB-240;17;1;0;1;0;
Notigung;STGB-240;16;1;0;1;0;
Bedrohung;STGB-241;47;1;0;1;0;
Diebstahl;STGB-242;298;0;1;1;0;
Bes. schwerer Diebstahl;STGB-243;8;1;0;1;0;
Besonders schwerer Fall des Diebstahls;STGB-243;4;1;0;1;0;
Schwerer Diebstahl;STGB-243;2;1;0;1;0;severe because of schwere 
Diebstahl geringwertiger Sachen;STGB-248A;20;0;1;0;1;
Diebstahl und Unterschlagung geringwertiger Güter;STGB-248A;4;0;1;0;1;
Misshandlung von Schutzbefohlenen;STGB-255;2;0;0;1;0;
Urkundenfälschung;StGB-267;2;0;0;0;1;
Fälschung beweiserheblicher Daten;STGB-269;2;0;0;0;1;
NA;STGB-303;2;0;1;1;0;
Sachbeschädigung;STGB-303;620;0;1;1;0;
Sachbeschadigung;STGB-303;1141;0;1;1;0;
SachbeschRligung;STGB-303;2;0;1;1;0;Entsprechend 303 gecoded
Gemeinschädliche Sachbeschädigung;STGB-304;28;0;1;0;1;
Brandstiftung;STGB-306;11;0;1;1;0;
Herbeifuhren einer Sprengstoffexplosion Sprengstoffexplosion;STGB-308;2;1;0;1;0;
Gefährlicher Eingriff in den Straßenverkehr;STGB-315B;4;1;0;1;0;entsprechend angepasst
Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr;STGB-315B;6;1;0;1;0;
Gefahrlicher Eingriff in den Strassenverkehr;STGB-315B;4;1;0;1;0;"severe statt minor wegen ""gefaehrlich"""
Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr;STGB-315C;2;1;0;1;0;
Verunglimpfung des Bundespräsidenten;STGB-86A;2;1;0;0;1;
Verwenden von Kennzeichen verfassungsfeindlicher Organisationen;STGB-86A;103;0;0;1;0;
Verwenden von Kennzeichen verfassungswidriger Organisationen;STGB-86A;81;0;0;1;0;
Verunglimpfung des Bundespräsidenten;STGB-90;2;0;0;1;0;
Verunglimpfung staatlicher Symbole;STGB-90A;2;0;0;1;0;
NA;URHG;2;0;0;0;1;
Urhebergesetz;URHG;2;0;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Urhebergesetz;UrhG;4;0;0;0;1;
Vereinsgesetz;VereinsG;1;0;0;0;1;
NA;Versammlungsgesetz (VersG);2;0;0;0;1;
NA;VERSG;12;0;0;0;1;
Verstoß gegen das Versammlungsgesetz;VersG;2;0;0;0;1;
Verstoß gegen das Versammlungsgesetz gegen das Verstoß gegen das Versammlungsgesetz;VersG;16;0;0;0;1;
Verstoß VersG;VERSG;4;0;0;0;1;
Verstoß gegen das Versammlungsgesetz;VerstoÃ VersG;2;0;0;0;1;