Gemeinderatswahl 2019 in Thüringen - endgültiges Ergebnis;;;;;
;;;;;
Übersicht zu den Bewerbern;;;;;
Gemeinde;Wahlvorschlag;Anzahl der Bewerber;;Gewählte Bewerber;
;;insgesamt;darunter weiblich;insgesamt;darunter weiblich
51000 Erfurt, Stadt;CDU;49;13;10;2
52000 Gera, Stadt;CDU;16;3;6;1
53000 Jena, Stadt;CDU;46;10;6;3
54000 Suhl, Stadt;CDU;35;7;11;2
55000 Weimar, Stadt;CDU;42;9;7;1
56000 Eisenach, Stadt;CDU;28;7;7;3
61001 Arenshausen;CDU;8;-;3;-
61003 Berlingerode;CDU;13;4;8;2
61012 Bodenrode-Westhausen;CDU;8;1;5;-
61015 Brehme;CDU;8;2;5;2
61017 Breitenworbis;CDU;14;1;7;1
61018 Büttstedt;CDU;7;1;7;1
61026 Ecklingerode;CDU;3;-;1;-
61031 Ferna;CDU;10;6;8;5
61035 Geismar;CDU;11;1;5;1
61036 Gerbershausen;CDU;9;1;8;1
61037 Gernrode;CDU;14;2;7;1
61041 Großbartloff;CDU;9;3;8;3
61044 Haynrode;CDU;3;-;3;-
61045 Heilbad Heiligenstadt, Stadt;CDU;24;4;9;2
61047 Heuthen;CDU;4;-;3;-
61048 Hohengandern;CDU;5;1;1;1
61049 Hohes Kreuz;CDU;10;3;8;2
61057 Kirchgandern;CDU;7;1;5;1
61063 Küllstedt;CDU;12;4;7;3
61065 Lenterode;CDU;5;-;2;-
61067 Lutter;CDU;7;1;7;1
61068 Mackenrode;CDU;4;-;2;-
61069 Marth;CDU;3;1;1;-
61074 Niederorschel;CDU;32;3;16;2
61076 Reinholterode;CDU;6;1;4;1
61078 Rohrberg;CDU;6;1;4;1
61082 Rustenfelde;CDU;5;2;4;2
61089 Steinbach;CDU;5;1;5;1
61091 Steinheuterode;CDU;7;2;4;-
61094 Tastungen;CDU;3;-;1;-
61097 Uder;CDU;19;3;10;1
61101 Wachstedt;CDU;2;1;2;1
61107 Wingerode;CDU;12;1;10;1
61113 Schimberg;CDU;11;3;6;1
61114 Teistungen;CDU;15;1;6;1
61115 Leinefelde-Worbis, Stadt;CDU;26;4;16;3
61116 Am Ohmberg;CDU;18;-;7;-
61117 Sonnenstein;CDU;13;2;9;1
61118 Dingelstädt, Stadt;CDU;20;2;11;-
62005 Ellrich, Stadt;CDU;18;6;6;1
62009 Großlohra;CDU;4;-;3;-
62037 Niedergebra;CDU;8;3;5;3
62041 Nordhausen, Stadt;CDU;32;8;8;2
62049 Sollstedt;CDU;7;2;4;1
62063 Werther;CDU;9;2;4;1
62064 Heringen/Helme, Stadt;CDU;13;1;6;-
62065 Harztor;CDU;20;7;8;3
62066 Bleicherode, Stadt;CDU;15;6;10;4
63003 Bad Salzungen, Stadt;CDU;26;6;5;1
63004 Barchfeld-Immelborn;CDU;16;3;5;1
63011 Buttlar;CDU;10;1;9;1
63013 Creuzburg, Stadt;CDU;10;1;6;1
63023 Empfertshausen;CDU;2;-;2;-
63028 Frankenroda;CDU;2;2;2;2
63032 Geisa, Stadt;CDU;15;3;12;1
63033 Gerstengrund;CDU;6;1;6;1
63055 Mihla;CDU;14;1;3;-
63066 Ruhla, Stadt;CDU;17;2;6;1
63068 Schleid;CDU;14;1;12;1
63071 Seebach;CDU;15;4;7;1
63076 Treffurt, Stadt;CDU;13;3;6;3
63078 Unterbreizbach;CDU;23;3;5;2
63092 Wutha-Farnroda;CDU;14;3;5;2
63094 Moorgrund;CDU;16;4;11;2
63097 Gerstungen;CDU;20;2;4;1
63099 Bad Liebenstein, Stadt;CDU;20;7;10;5
63101 Krayenberggemeinde;CDU;11;2;7;-
63103 Werra-Suhl-Tal, Stadt;CDU;12;2;5;1
64003 Bad Langensalza, Stadt;CDU;24;10;6;1
64004 Bad Tennstedt, Stadt;CDU;6;1;2;-
64014 Dünwald;CDU;13;3;10;2
64022 Herbsleben;CDU;19;2;5;-
64037 Körner;CDU;6;-;3;-
64038 Kutzleben;CDU;7;2;3;2
64046 Mühlhausen/Thüringen, Stadt;CDU;35;14;7;2
64052 Obermehler;CDU;12;1;12;1
64055 Rodeberg;CDU;21;5;8;2
64057 Schlotheim, Stadt;CDU;14;4;7;2
64058 Schönstedt;CDU;6;1;6;1
64071 Unstruttal;CDU;8;-;3;-
64072 Menteroda;CDU;9;4;3;-
64073 Anrode;CDU;15;1;10;-
64074 Südeichsfeld;CDU;20;2;11;1
64076 Unstrut-Hainich;CDU;26;3;11;2
65001 Abtsbessingen;CDU;9;3;2;-
65003 Bad Frankenhausen/Kyffhäuser, Stadt;CDU;19;5;5;1
65012 Clingen, Stadt;CDU;15;1;9;1
65014 Ebeleben, Stadt;CDU;6;2;2;1
65023 Greußen, Stadt;CDU;9;3;6;2
65032 Helbedündorf;CDU;11;2;7;-
65067 Sondershausen, Stadt;CDU;28;5;6;-
65085 Kyffhäuserland;CDU;20;2;5;-
65086 Artern, Stadt;CDU;11;2;5;2
65087 Roßleben-Wiehe, Stadt;CDU;20;5;5;2
65088 An der Schmücke, Stadt;CDU;17;6;5;1
66013 Breitungen/Werra;CDU;15;3;3;-
66015 Christes;CDU;6;2;3;1
66017 Einhausen;CDU;2;-;1;-
66018 Ellingshausen;CDU;6;2;6;2
66022 Fambach;CDU;14;4;8;1
66023 Floh-Seligenthal;CDU;18;3;8;2
66039 Leutersdorf;CDU;5;-;4;-
66042 Meiningen, Stadt;CDU;15;5;5;-
66045 Neubrunn;CDU;7;1;4;1
66049 Obermaßfeld-Grimmenthal;CDU;3;3;1;1
66058 Rohr;CDU;8;2;3;2
66059 Rosa;CDU;9;1;8;-
66061 Roßdorf;CDU;9;2;8;1
66063 Schmalkalden, Kurort, Stadt;CDU;19;3;4;-
66064 Schwallungen;CDU;13;6;9;3
66069 Steinbach-Hallenberg, Kurort, Stadt;CDU;20;5;5;-
66073 Sülzfeld;CDU;3;1;1;-
66074 Brotterode-Trusetal, Stadt;CDU;12;3;4;1
66081 Vachdorf;CDU;3;1;3;1
66086 Wasungen, Stadt;CDU;9;1;7;1
66092 Zella-Mehlis, Stadt;CDU;20;6;5;1
66093 Rhönblick;CDU;6;-;1;-
66094 Grabfeld;CDU;13;3;9;2
67004 Bienstädt;CDU;9;2;8;2
67009 Dachwig;CDU;4;1;3;1
67011 Döllstädt;CDU;3;2;2;1
67013 Emleben;CDU;10;3;2;1
67016 Eschenbergen;CDU;10;2;5;2
67019 Friedrichroda, Stadt;CDU;15;2;6;1
67022 Friemar;CDU;8;2;5;-
67025 Georgenthal/Thür. Wald;CDU;5;-;3;-
67026 Gierstädt;CDU;5;-;2;-
67029 Gotha, Stadt;CDU;33;12;6;1
67036 Herrenhof;CDU;8;1;3;-
67039 Hohenkirchen;CDU;8;3;5;2
67044 Luisenthal;CDU;6;1;3;-
67053 Ohrdruf, Stadt;CDU;20;9;4;1
67059 Schwabhausen;CDU;6;-;4;-
67063 Sonneborn;CDU;4;-;4;-
67065 Tambach-Dietharz/Thür. Wald, Stadt;CDU;6;3;2;-
67067 Tonna;CDU;8;1;4;-
67071 Tüttleben;CDU;6;4;3;1
67072 Waltershausen, Stadt;CDU;19;6;9;3
67082 Zimmernsupra;CDU;4;-;1;-
67083 Leinatal;CDU;15;3;11;2
67087 Nesse-Apfelstädt;CDU;20;1;5;1
67088 Hörsel;CDU;14;3;7;2
67091 Nessetal;CDU;11;3;4;2
68002 Andisleben;CDU;2;-;1;-
68007 Eckstedt;CDU;13;3;8;2
68009 Elxleben (SÖM);CDU;13;4;8;2
68014 Gebesee, Stadt;CDU;7;3;4;1
68021 Großrudestedt;CDU;12;2;5;1
68033 Kleinneuhausen;CDU;6;1;6;1
68034 Kölleda, Stadt;CDU;10;3;4;1
68037 Nöda;CDU;10;1;6;-
68042 Rastenberg, Stadt;CDU;6;1;2;-
68051 Sömmerda, Stadt;CDU;21;2;6;1
68053 Straußfurt;CDU;14;6;5;1
68057 Walschleben;CDU;7;1;3;1
68058 Weißensee, Stadt;CDU;15;2;9;1
68061 Witterda;CDU;15;3;7;2
68062 Wundersleben;CDU;7;-;2;-
68063 Buttstädt;CDU;20;1;8;-
69012 Eisfeld, Stadt;CDU;12;2;3;2
69024 Hildburghausen, Stadt;CDU;24;9;5;2
69042 Schleusegrund;CDU;12;4;4;2
69043 Schleusingen, Stadt;CDU;24;5;7;1
69061 Masserberg;CDU;10;3;6;1
69063 Heldburg, Stadt;CDU;12;2;9;1
70004 Arnstadt, Stadt;CDU;30;6;6;1
70011 Elgersburg;CDU;13;4;5;1
70013 Elxleben (IK);CDU;7;1;3;1
70028 Amt Wachsenburg;CDU;16;3;6;2
70029 Ilmenau, Stadt;CDU;40;7;10;1
70034 Martinroda;CDU;5;-;2;-
70041 Osthausen-Wülfershausen;CDU;3;1;1;-
70043 Plaue, Stadt;CDU;11;3;5;1
70048 Stadtilm, Stadt;CDU;13;4;5;1
70054 Witzleben;CDU;7;2;6;1
70057 Geratal;CDU;19;1;8;-
71001 Apolda, Stadt;CDU;30;4;9;-
71003 Bad Berka, Stadt;CDU;20;6;5;2
71004 Bad Sulza, Stadt;CDU;17;5;5;-
71008 Blankenhain, Stadt;CDU;20;3;9;1
71012 Daasdorf a. Berge;CDU;1;-;1;-
71015 Eberstedt;CDU;5;2;5;2
71017 Ettersburg;CDU;2;1;1;1
71022 Großheringen;CDU;8;1;6;1
71025 Großschwabhausen;CDU;7;4;3;1
71034 Hopfgarten;CDU;4;-;1;-
71036 Isseroda;CDU;3;-;2;-
71043 Klettbach;CDU;8;2;3;1
71046 Kranichfeld, Stadt;CDU;19;4;4;1
71064 Niedertrebra;CDU;8;2;3;1
71067 Nohra;CDU;1;-;1;-
71087 Tonndorf;CDU;9;2;4;1
71089 Umpferstedt;CDU;7;-;3;-
71099 Saaleplatte;CDU;6;1;3;1
72011 Lauscha, Stadt;CDU;6;1;4;-
72013 Neuhaus am Rennweg, Stadt;CDU;15;2;7;1
72015 Schalkau, Stadt;CDU;12;1;5;-
72018 Sonneberg, Stadt;CDU;25;5;12;3
72019 Steinach, Stadt;CDU;6;1;5;-
72023 Frankenblick;CDU;16;4;4;1
73002 Altenbeuthen;CDU;9;4;6;1
73005 Bad Blankenburg, Stadt;CDU;14;3;7;2
73028 Gräfenthal, Stadt;CDU;1;-;1;-
73038 Kaulsdorf;CDU;8;1;5;-
73076 Rudolstadt, Stadt;CDU;14;3;5;1
73077 Saalfeld/Saale, Stadt;CDU;32;6;10;2
73084 Sitzendorf;CDU;2;1;2;1
73106 Leutenberg, Stadt;CDU;9;1;4;1
73109 Uhlstädt-Kirchhasel;CDU;10;1;4;-
73111 Unterwellenborn;CDU;20;2;7;1
73112 Königsee, Stadt;CDU;10;3;3;-
73113 Schwarzatal, Stadt;CDU;11;5;2;-
74003 Bad Klosterlausnitz;CDU;10;2;5;2
74008 Bucha;CDU;5;-;2;-
74009 Bürgel, Stadt;CDU;17;4;9;2
74011 Dornburg-Camburg, Stadt;CDU;20;4;8;1
74016 Eichenberg (SHK);CDU;3;2;2;1
74018 Eisenberg, Stadt;CDU;24;6;11;1
74024 Gneus;CDU;6;2;4;-
74025 Gösen;CDU;7;3;6;2
74032 Großlöbichau;CDU;8;1;8;1
74039 Heideland;CDU;7;3;5;2
74041 Hermsdorf, Stadt;CDU;20;6;4;1
74042 Hummelshain;CDU;8;3;4;-
74044 Kahla, Stadt;CDU;8;1;3;-
74057 Milda;CDU;8;2;5;2
74065 Orlamünde, Stadt;CDU;3;-;3;-
74066 Ottendorf;CDU;6;2;2;-
74072 Rauda;CDU;6;-;6;-
74094 Stadtroda, Stadt;CDU;13;4;4;1
74098 Tautenhain;CDU;2;-;1;-
74102 Trockenborn-Wolfersdorf;CDU;9;1;5;1
74103 Tröbnitz;CDU;7;2;6;1
74109 Weißenborn;CDU;7;-;4;-
74114 Zöllnitz;CDU;11;7;5;2
74116 Schkölen, Stadt;CDU;7;4;3;2
75006 Bodelwitz;CDU;11;2;8;1
75009 Burgk;CDU;2;-;2;-
75023 Eßbach;CDU;5;1;5;1
75035 Gössitz;CDU;1;-;1;-
75046 Hirschberg, Stadt;CDU;1;-;1;-
75061 Linda b. Neustadt an der Orla;CDU;8;5;4;2
75062 Bad Lobenstein, Stadt;CDU;4;-;2;-
75073 Neustadt an der Orla, Stadt;CDU;20;5;5;-
75074 Nimritz;CDU;2;-;1;-
75076 Oettersdorf;CDU;2;-;2;-
75085 Pößneck, Stadt;CDU;20;6;4;1
75088 Ranis, Stadt;CDU;6;1;2;-
75098 Schleiz, Stadt;CDU;20;7;5;3
75099 Schmieritz;CDU;4;2;2;1
75132 Tanna, Stadt;CDU;8;1;5;-
75134 Remptendorf;CDU;15;2;9;1
75135 Saalburg-Ebersdorf, Stadt;CDU;15;1;9;1
76003 Bad Köstritz, Stadt;CDU;19;5;7;1
76004 Berga/Elster, Stadt;CDU;11;6;5;3
76009 Braunichswalde;CDU;9;2;8;2
76039 Langenwetzendorf;CDU;9;2;5;1
76041 Langenwolschendorf;CDU;11;4;5;2
76049 Münchenbernsdorf, Stadt;CDU;14;2;4;-
76061 Ronneburg, Stadt;CDU;19;4;12;4
76064 Saara;CDU;5;2;2;-
76069 Seelingstädt;CDU;10;2;3;1
76079 Weida, Stadt;CDU;9;1;5;1
76087 Zeulenroda-Triebes, Stadt;CDU;19;3;5;1
76088 Harth-Pöllnitz;CDU;6;1;4;-
76089 Kraftsdorf;CDU;6;2;3;-
76092 Auma-Weidatal, Stadt;CDU;13;5;7;3
76093 Mohlsdorf-Teichwolframsdorf;CDU;19;5;8;2
77001 Altenburg, Stadt;CDU;36;10;11;4
77012 Gößnitz, Stadt;CDU;5;-;2;-
77015 Haselbach;CDU;3;-;3;-
77016 Heukewalde;CDU;3;-;2;-
77028 Lucka, Stadt;CDU;7;1;2;-
77032 Meuselwitz, Stadt;CDU;7;2;3;1
77036 Nobitz;CDU;14;3;5;1
77039 Ponitz;CDU;12;3;9;2
77042 Rositz;CDU;8;1;4;1
77043 Schmölln, Stadt;CDU;20;4;6;2
77048 Treben;CDU;12;4;12;4
77049 Vollmershain;CDU;1;-;1;-
77052 Windischleuba;CDU;10;2;7;1
51000 Erfurt, Stadt;DIE LINKE;48;18;8;4
52000 Gera, Stadt;DIE LINKE;21;5;8;4
53000 Jena, Stadt;DIE LINKE;46;21;9;5
54000 Suhl, Stadt;DIE LINKE;25;8;7;4
55000 Weimar, Stadt;DIE LINKE;22;8;7;4
56000 Eisenach, Stadt;DIE LINKE;21;6;8;4
61045 Heilbad Heiligenstadt, Stadt;DIE LINKE;7;4;2;2
61115 Leinefelde-Worbis, Stadt;DIE LINKE;8;4;3;2
61118 Dingelstädt, Stadt;DIE LINKE;2;1;1;1
62005 Ellrich, Stadt;DIE LINKE;5;-;3;-
62041 Nordhausen, Stadt;DIE LINKE;26;13;8;3
62049 Sollstedt;DIE LINKE;5;4;3;3
62063 Werther;DIE LINKE;4;1;2;-
62064 Heringen/Helme, Stadt;DIE LINKE;2;-;2;-
62066 Bleicherode, Stadt;DIE LINKE;9;1;5;1
63003 Bad Salzungen, Stadt;DIE LINKE;13;5;4;3
63004 Barchfeld-Immelborn;DIE LINKE;8;2;2;1
63032 Geisa, Stadt;DIE LINKE;2;-;2;-
63051 Leimbach;DIE LINKE;7;3;2;1
63078 Unterbreizbach;DIE LINKE;6;2;2;-
63092 Wutha-Farnroda;DIE LINKE;3;1;2;1
63099 Bad Liebenstein, Stadt;DIE LINKE;9;1;3;-
63101 Krayenberggemeinde;DIE LINKE;13;3;3;1
64003 Bad Langensalza, Stadt;DIE LINKE;15;7;4;2
64004 Bad Tennstedt, Stadt;DIE LINKE;8;3;2;1
64022 Herbsleben;DIE LINKE;9;9;3;3
64046 Mühlhausen/Thüringen, Stadt;DIE LINKE;19;8;4;2
64057 Schlotheim, Stadt;DIE LINKE;2;1;1;1
65003 Bad Frankenhausen/Kyffhäuser, Stadt;DIE LINKE;20;9;4;3
65012 Clingen, Stadt;DIE LINKE;3;1;2;1
65067 Sondershausen, Stadt;DIE LINKE;17;5;3;2
65086 Artern, Stadt;DIE LINKE;16;4;6;2
65087 Roßleben-Wiehe, Stadt;DIE LINKE;6;-;1;-
65088 An der Schmücke, Stadt;DIE LINKE;12;4;3;1
66013 Breitungen/Werra;DIE LINKE;5;2;1;-
66023 Floh-Seligenthal;DIE LINKE;3;-;2;-
66042 Meiningen, Stadt;DIE LINKE;8;2;2;-
66045 Neubrunn;DIE LINKE;1;-;1;-
66063 Schmalkalden, Kurort, Stadt;DIE LINKE;9;4;2;1
66069 Steinbach-Hallenberg, Kurort, Stadt;DIE LINKE;9;3;1;-
66074 Brotterode-Trusetal, Stadt;DIE LINKE;4;2;2;1
66086 Wasungen, Stadt;DIE LINKE;4;1;1;-
66092 Zella-Mehlis, Stadt;DIE LINKE;4;1;2;-
66094 Grabfeld;DIE LINKE;1;-;1;-
67009 Dachwig;DIE LINKE;3;1;3;1
67011 Döllstädt;DIE LINKE;5;-;2;-
67019 Friedrichroda, Stadt;DIE LINKE;5;3;2;2
67029 Gotha, Stadt;DIE LINKE;21;7;5;3
67044 Luisenthal;DIE LINKE;4;2;2;1
67047 Molschleben;DIE LINKE;2;1;2;1
67053 Ohrdruf, Stadt;DIE LINKE;8;4;2;1
67065 Tambach-Dietharz/Thür. Wald, Stadt;DIE LINKE;4;2;2;2
68009 Elxleben (SÖM);DIE LINKE;1;-;1;-
68014 Gebesee, Stadt;DIE LINKE;4;1;2;-
68034 Kölleda, Stadt;DIE LINKE;4;-;1;-
68044 Riethnordhausen;DIE LINKE;3;3;1;1
68051 Sömmerda, Stadt;DIE LINKE;21;10;8;5
68058 Weißensee, Stadt;DIE LINKE;2;1;1;-
68064 Kindelbrück;DIE LINKE;3;1;1;-
69003 Beinerstadt;DIE LINKE;4;2;1;-
69012 Eisfeld, Stadt;DIE LINKE;15;5;3;1
69024 Hildburghausen, Stadt;DIE LINKE;19;5;6;2
69043 Schleusingen, Stadt;DIE LINKE;12;4;2;-
69049 Straufhain;DIE LINKE;2;-;2;-
69051 Themar, Stadt;DIE LINKE;9;2;3;1
69056 Westhausen;DIE LINKE;3;1;1;-
69061 Masserberg;DIE LINKE;3;-;1;-
69062 Römhild, Stadt;DIE LINKE;8;3;2;1
70004 Arnstadt, Stadt;DIE LINKE;32;14;4;2
70013 Elxleben (IK);DIE LINKE;1;1;-;-
70028 Amt Wachsenburg;DIE LINKE;14;3;2;1
70029 Ilmenau, Stadt;DIE LINKE;22;7;5;1
70048 Stadtilm, Stadt;DIE LINKE;7;-;2;-
70054 Witzleben;DIE LINKE;3;3;2;2
71001 Apolda, Stadt;DIE LINKE;9;2;3;1
71008 Blankenhain, Stadt;DIE LINKE;12;4;3;-
72011 Lauscha, Stadt;DIE LINKE;7;1;4;1
72013 Neuhaus am Rennweg, Stadt;DIE LINKE;20;5;5;2
72015 Schalkau, Stadt;DIE LINKE;12;3;2;-
72018 Sonneberg, Stadt;DIE LINKE;23;11;5;3
72019 Steinach, Stadt;DIE LINKE;4;2;1;1
72023 Frankenblick;DIE LINKE;5;2;3;1
73005 Bad Blankenburg, Stadt;DIE LINKE;12;2;5;1
73037 Katzhütte;DIE LINKE;3;3;1;1
73067 Probstzella;DIE LINKE;2;-;2;-
73076 Rudolstadt, Stadt;DIE LINKE;15;3;3;2
73077 Saalfeld/Saale, Stadt;DIE LINKE;15;6;4;1
73109 Uhlstädt-Kirchhasel;DIE LINKE;11;1;4;-
73111 Unterwellenborn;DIE LINKE;4;-;2;-
73113 Schwarzatal, Stadt;DIE LINKE;2;1;1;1
74012 Crossen an der Elster;DIE LINKE;7;1;3;1
74018 Eisenberg, Stadt;DIE LINKE;7;4;4;1
74041 Hermsdorf, Stadt;DIE LINKE;9;6;4;3
74044 Kahla, Stadt;DIE LINKE;8;5;5;3
74094 Stadtroda, Stadt;DIE LINKE;4;-;2;-
74116 Schkölen, Stadt;DIE LINKE;3;3;2;2
75023 Eßbach;DIE LINKE;3;2;1;-
75046 Hirschberg, Stadt;DIE LINKE;1;-;1;-
75062 Bad Lobenstein, Stadt;DIE LINKE;8;2;4;1
75073 Neustadt an der Orla, Stadt;DIE LINKE;8;6;3;1
75085 Pößneck, Stadt;DIE LINKE;7;5;2;2
75098 Schleiz, Stadt;DIE LINKE;7;3;2;-
75116 Triptis, Stadt;DIE LINKE;4;1;2;-
75124 Wernburg;DIE LINKE;2;-;2;-
75131 Gefell, Stadt;DIE LINKE;2;-;1;-
75132 Tanna, Stadt;DIE LINKE;2;-;1;-
75133 Wurzbach, Stadt;DIE LINKE;3;-;1;-
75136 Rosenthal am Rennsteig;DIE LINKE;5;-;2;-
76003 Bad Köstritz, Stadt;DIE LINKE;11;7;3;2
76004 Berga/Elster, Stadt;DIE LINKE;4;2;2;1
76022 Greiz, Stadt;DIE LINKE;23;12;4;1
76039 Langenwetzendorf;DIE LINKE;2;-;1;-
76049 Münchenbernsdorf, Stadt;DIE LINKE;3;-;1;-
76061 Ronneburg, Stadt;DIE LINKE;4;-;3;-
76079 Weida, Stadt;DIE LINKE;13;4;2;1
76087 Zeulenroda-Triebes, Stadt;DIE LINKE;11;6;3;2
76092 Auma-Weidatal, Stadt;DIE LINKE;2;-;1;-
76093 Mohlsdorf-Teichwolframsdorf;DIE LINKE;3;2;1;1
77001 Altenburg, Stadt;DIE LINKE;15;9;5;3
77012 Gößnitz, Stadt;DIE LINKE;2;1;1;1
77022 Kriebitzsch;DIE LINKE;5;3;4;2
77023 Langenleuba-Niederhain;DIE LINKE;3;1;1;-
77028 Lucka, Stadt;DIE LINKE;3;2;1;-
77032 Meuselwitz, Stadt;DIE LINKE;11;3;3;1
77036 Nobitz;DIE LINKE;4;1;2;1
77039 Ponitz;DIE LINKE;3;2;1;1
77042 Rositz;DIE LINKE;4;3;2;1
77043 Schmölln, Stadt;DIE LINKE;9;4;5;3
51000 Erfurt, Stadt;SPD;49;12;9;3
52000 Gera, Stadt;SPD;32;9;3;1
53000 Jena, Stadt;SPD;46;16;6;2
54000 Suhl, Stadt;SPD;20;4;4;1
55000 Weimar, Stadt;SPD;41;18;6;1
56000 Eisenach, Stadt;SPD;21;5;4;2
61017 Breitenworbis;SPD;7;-;2;-
61019 Buhla;SPD;6;1;4;1
61045 Heilbad Heiligenstadt, Stadt;SPD;8;3;1;-
61074 Niederorschel;SPD;3;1;2;-
61115 Leinefelde-Worbis, Stadt;SPD;7;3;2;-
62005 Ellrich, Stadt;SPD;14;4;4;-
62041 Nordhausen, Stadt;SPD;35;8;6;2
62049 Sollstedt;SPD;10;4;3;1
62063 Werther;SPD;6;2;2;2
62065 Harztor;SPD;5;1;1;-
62066 Bleicherode, Stadt;SPD;8;3;4;1
63003 Bad Salzungen, Stadt;SPD;7;3;1;-
63013 Creuzburg, Stadt;SPD;9;3;3;-
63055 Mihla;SPD;9;1;1;-
63066 Ruhla, Stadt;SPD;7;2;2;1
63078 Unterbreizbach;SPD;21;7;9;2
63099 Bad Liebenstein, Stadt;SPD;8;2;2;-
63101 Krayenberggemeinde;SPD;4;2;3;1
64003 Bad Langensalza, Stadt;SPD;22;10;3;1
64004 Bad Tennstedt, Stadt;SPD;7;2;2;-
64037 Körner;SPD;4;1;1;-
64046 Mühlhausen/Thüringen, Stadt;SPD;19;9;6;2
64053 Oppershausen;SPD;5;1;2;1
64057 Schlotheim, Stadt;SPD;15;1;4;-
64058 Schönstedt;SPD;3;1;1;-
64071 Unstruttal;SPD;10;3;4;1
64072 Menteroda;SPD;3;2;1;-
64075 Vogtei;SPD;6;-;3;-
65003 Bad Frankenhausen/Kyffhäuser, Stadt;SPD;22;7;9;2
