Gemeinderatswahl 2019 in Thüringen - endgültiges Ergebnis;;;;;
65023 Greußen, Stadt;SPD;13;1;9;-
65067 Sondershausen, Stadt;SPD;20;12;3;2
65085 Kyffhäuserland;SPD;3;-;1;-
65086 Artern, Stadt;SPD;9;4;2;1
65087 Roßleben-Wiehe, Stadt;SPD;20;5;6;1
65088 An der Schmücke, Stadt;SPD;11;4;3;1
66013 Breitungen/Werra;SPD;15;3;5;1
66023 Floh-Seligenthal;SPD;10;1;2;1
66042 Meiningen, Stadt;SPD;30;8;10;4
66063 Schmalkalden, Kurort, Stadt;SPD;20;3;9;1
66069 Steinbach-Hallenberg, Kurort, Stadt;SPD;4;1;1;-
66074 Brotterode-Trusetal, Stadt;SPD;7;1;3;-
66086 Wasungen, Stadt;SPD;5;2;2;-
66092 Zella-Mehlis, Stadt;SPD;9;1;2;-
66094 Grabfeld;SPD;2;1;1;1
67009 Dachwig;SPD;8;2;4;1
67019 Friedrichroda, Stadt;SPD;12;3;3;-
67025 Georgenthal/Thür. Wald;SPD;4;1;2;1
67029 Gotha, Stadt;SPD;36;8;11;1
67044 Luisenthal;SPD;12;2;7;-
67047 Molschleben;SPD;2;1;1;1
67053 Ohrdruf, Stadt;SPD;19;5;6;1
67065 Tambach-Dietharz/Thür. Wald, Stadt;SPD;7;-;3;-
67072 Waltershausen, Stadt;SPD;24;4;3;-
67083 Leinatal;SPD;8;3;5;2
67087 Nesse-Apfelstädt;SPD;16;4;2;-
68009 Elxleben (SÖM);SPD;1;-;-;-
68034 Kölleda, Stadt;SPD;10;2;3;-
68051 Sömmerda, Stadt;SPD;9;2;1;-
68057 Walschleben;SPD;9;2;4;2
68058 Weißensee, Stadt;SPD;6;2;1;-
68063 Buttstädt;SPD;6;3;1;-
69012 Eisfeld, Stadt;SPD;7;-;2;-
69024 Hildburghausen, Stadt;SPD;15;2;3;1
69043 Schleusingen, Stadt;SPD;19;7;4;1
69051 Themar, Stadt;SPD;7;2;1;-
69053 Veilsdorf;SPD;4;1;1;-
69061 Masserberg;SPD;4;2;1;-
69062 Römhild, Stadt;SPD;1;1;-;-
70004 Arnstadt, Stadt;SPD;10;3;3;2
70012 Elleben;SPD;2;-;-;-
70013 Elxleben (IK);SPD;2;-;-;-
70029 Ilmenau, Stadt;SPD;27;8;3;1
70041 Osthausen-Wülfershausen;SPD;3;2;1;1
70048 Stadtilm, Stadt;SPD;7;-;2;-
70057 Geratal;SPD;10;1;2;-
71001 Apolda, Stadt;SPD;9;2;2;1
71008 Blankenhain, Stadt;SPD;3;2;2;1
71034 Hopfgarten;SPD;4;2;2;1
72011 Lauscha, Stadt;SPD;5;2;4;2
72013 Neuhaus am Rennweg, Stadt;SPD;6;1;1;-
72018 Sonneberg, Stadt;SPD;9;2;3;1
73038 Kaulsdorf;SPD;2;1;1;-
73046 Lehesten, Stadt;SPD;2;2;1;1
73067 Probstzella;SPD;9;1;6;1
73076 Rudolstadt, Stadt;SPD;24;7;4;1
73077 Saalfeld/Saale, Stadt;SPD;15;7;4;2
73109 Uhlstädt-Kirchhasel;SPD;10;2;3;-
74016 Eichenberg (SHK);SPD;3;-;1;-
74018 Eisenberg, Stadt;SPD;17;2;4;-
74041 Hermsdorf, Stadt;SPD;11;3;3;1
74044 Kahla, Stadt;SPD;6;1;2;-
74094 Stadtroda, Stadt;SPD;6;2;3;-
75073 Neustadt an der Orla, Stadt;SPD;3;-;1;-
75085 Pößneck, Stadt;SPD;9;1;2;-
75098 Schleiz, Stadt;SPD;13;3;3;2
75116 Triptis, Stadt;SPD;9;2;1;-
76022 Greiz, Stadt;SPD;17;5;4;2
76079 Weida, Stadt;SPD;3;3;1;1
76087 Zeulenroda-Triebes, Stadt;SPD;10;3;1;-
76093 Mohlsdorf-Teichwolframsdorf;SPD;8;4;1;-
77001 Altenburg, Stadt;SPD;24;7;4;1
77012 Gößnitz, Stadt;SPD;6;3;2;-
77027 Lödla;SPD;5;2;3;2
77028 Lucka, Stadt;SPD;3;-;1;-
77032 Meuselwitz, Stadt;SPD;7;1;2;-
77036 Nobitz;SPD;19;4;7;1
77041 Posterstein;SPD;2;1;1;1
77042 Rositz;SPD;7;2;2;1
77043 Schmölln, Stadt;SPD;29;6;5;-
51000 Erfurt, Stadt;AfD;13;1;7;1
52000 Gera, Stadt;AfD;17;2;12;2
53000 Jena, Stadt;AfD;13;3;5;2
54000 Suhl, Stadt;AfD;5;-;4;-
55000 Weimar, Stadt;AfD;7;1;5;1
56000 Eisenach, Stadt;AfD;6;1;4;1
61045 Heilbad Heiligenstadt, Stadt;AfD;7;1;2;-
61047 Heuthen;AfD;3;-;2;-
61068 Mackenrode;AfD;3;1;1;-
61074 Niederorschel;AfD;6;1;2;-
61115 Leinefelde-Worbis, Stadt;AfD;7;2;4;1
61118 Dingelstädt, Stadt;AfD;7;1;2;-
62041 Nordhausen, Stadt;AfD;14;4;8;3
62066 Bleicherode, Stadt;AfD;3;1;3;1
63003 Bad Salzungen, Stadt;AfD;2;-;2;-
63032 Geisa, Stadt;AfD;2;1;2;1
63066 Ruhla, Stadt;AfD;4;1;3;1
63092 Wutha-Farnroda;AfD;2;-;2;-
64046 Mühlhausen/Thüringen, Stadt;AfD;12;2;5;-
65067 Sondershausen, Stadt;AfD;7;1;3;-
65087 Roßleben-Wiehe, Stadt;AfD;6;1;3;-
66042 Meiningen, Stadt;AfD;7;1;4;1
66063 Schmalkalden, Kurort, Stadt;AfD;6;1;4;1
66092 Zella-Mehlis, Stadt;AfD;3;1;3;1
67029 Gotha, Stadt;AfD;7;3;6;2
67053 Ohrdruf, Stadt;AfD;3;-;3;-
67071 Tüttleben;AfD;4;1;3;1
67072 Waltershausen, Stadt;AfD;4;-;3;-
68034 Kölleda, Stadt;AfD;4;1;2;-
68051 Sömmerda, Stadt;AfD;3;-;3;-
68063 Buttstädt;AfD;4;1;4;1
69024 Hildburghausen, Stadt;AfD;9;2;5;1
70004 Arnstadt, Stadt;AfD;4;-;4;-
70029 Ilmenau, Stadt;AfD;6;-;6;-
71001 Apolda, Stadt;AfD;8;-;5;-
72013 Neuhaus am Rennweg, Stadt;AfD;3;-;3;-
72018 Sonneberg, Stadt;AfD;13;1;7;-
72019 Steinach, Stadt;AfD;7;3;4;1
73046 Lehesten, Stadt;AfD;5;-;1;-
73076 Rudolstadt, Stadt;AfD;17;-;7;-
73077 Saalfeld/Saale, Stadt;AfD;6;3;5;2
74012 Crossen an der Elster;AfD;4;-;2;-
75085 Pößneck, Stadt;AfD;5;-;3;-
75116 Triptis, Stadt;AfD;3;-;2;-
76004 Berga/Elster, Stadt;AfD;3;1;3;1
76022 Greiz, Stadt;AfD;4;-;4;-
76087 Zeulenroda-Triebes, Stadt;AfD;9;1;4;1
76089 Kraftsdorf;AfD;3;1;2;1
77032 Meuselwitz, Stadt;AfD;5;-;5;-
77052 Windischleuba;AfD;1;-;1;-
51000 Erfurt, Stadt;GRÜNE;50;25;6;3
52000 Gera, Stadt;GRÜNE;27;11;3;1
53000 Jena, Stadt;GRÜNE;46;23;9;5
54000 Suhl, Stadt;GRÜNE;8;3;2;-
55000 Weimar, Stadt;GRÜNE;42;20;8;3
56000 Eisenach, Stadt;GRÜNE;31;10;4;1
61045 Heilbad Heiligenstadt, Stadt;GRÜNE;9;4;2;1
61069 Marth;GRÜNE;4;1;1;-
61084 Schönhagen;GRÜNE;5;2;1;-
62005 Ellrich, Stadt;GRÜNE;11;2;2;-
62041 Nordhausen, Stadt;GRÜNE;21;8;3;2
62065 Harztor;GRÜNE;2;-;1;-
63003 Bad Salzungen, Stadt;GRÜNE;4;3;1;-
63011 Buttlar;GRÜNE;6;1;3;-
63092 Wutha-Farnroda;GRÜNE;3;1;1;-
63099 Bad Liebenstein, Stadt;GRÜNE;9;8;1;1
64003 Bad Langensalza, Stadt;GRÜNE;3;2;1;1
64046 Mühlhausen/Thüringen, Stadt;GRÜNE;21;8;3;1
65067 Sondershausen, Stadt;GRÜNE;11;6;1;1
66042 Meiningen, Stadt;GRÜNE;21;9;3;1
66063 Schmalkalden, Kurort, Stadt;GRÜNE;6;4;2;1
67029 Gotha, Stadt;GRÜNE;20;7;3;1
67072 Waltershausen, Stadt;GRÜNE;11;5;2;1
67087 Nesse-Apfelstädt;GRÜNE;15;7;2;1
68051 Sömmerda, Stadt;GRÜNE;8;4;2;1
68063 Buttstädt;GRÜNE;2;-;1;-
69062 Römhild, Stadt;GRÜNE;1;-;1;-
70004 Arnstadt, Stadt;GRÜNE;11;5;2;1
70057 Geratal;GRÜNE;2;-;-;-
71001 Apolda, Stadt;GRÜNE;4;-;2;-
71003 Bad Berka, Stadt;GRÜNE;4;1;1;-
71008 Blankenhain, Stadt;GRÜNE;3;-;1;-
72013 Neuhaus am Rennweg, Stadt;GRÜNE;4;2;-;-
73076 Rudolstadt, Stadt;GRÜNE;14;7;1;1
73077 Saalfeld/Saale, Stadt;GRÜNE;14;7;3;2
75085 Pößneck, Stadt;GRÜNE;12;8;1;-
75088 Ranis, Stadt;GRÜNE;3;2;1;-
76079 Weida, Stadt;GRÜNE;5;3;1;1
77001 Altenburg, Stadt;GRÜNE;7;3;1;1
51000 Erfurt, Stadt;FDP;48;16;3;1
52000 Gera, Stadt;FDP;11;3;1;-
53000 Jena, Stadt;FDP;46;8;6;1
54000 Suhl, Stadt;FDP;17;2;1;1
55000 Weimar, Stadt;FDP;24;6;1;-
56000 Eisenach, Stadt;FDP;11;3;2;1
61045 Heilbad Heiligenstadt, Stadt;FDP;8;1;1;-
61101 Wachstedt;FDP;5;-;2;-
61114 Teistungen;FDP;11;2;5;1
61115 Leinefelde-Worbis, Stadt;FDP;6;1;1;1
61118 Dingelstädt, Stadt;FDP;4;-;1;-
62005 Ellrich, Stadt;FDP;7;-;2;-
62041 Nordhausen, Stadt;FDP;23;4;3;-
62062 Hohenstein;FDP;3;1;3;1
62065 Harztor;FDP;3;1;1;-
62066 Bleicherode, Stadt;FDP;13;5;3;1
63003 Bad Salzungen, Stadt;FDP;9;3;1;1
63055 Mihla;FDP;8;3;1;-
63097 Gerstungen;FDP;4;1;1;1
63101 Krayenberggemeinde;FDP;5;-;2;-
64046 Mühlhausen/Thüringen, Stadt;FDP;12;3;1;-
65087 Roßleben-Wiehe, Stadt;FDP;9;4;1;1
66023 Floh-Seligenthal;FDP;20;3;8;-
66042 Meiningen, Stadt;FDP;9;2;1;-
66063 Schmalkalden, Kurort, Stadt;FDP;4;-;1;-
66069 Steinbach-Hallenberg, Kurort, Stadt;FDP;13;1;2;-
66086 Wasungen, Stadt;FDP;2;1;1;-
66095 Kaltennordheim, Stadt;FDP;1;-;-;-
67009 Dachwig;FDP;7;4;2;2
67019 Friedrichroda, Stadt;FDP;5;1;1;-
67029 Gotha, Stadt;FDP;12;2;1;-
67039 Hohenkirchen;FDP;1;-;1;-
67072 Waltershausen, Stadt;FDP;7;1;1;-
67091 Nessetal;FDP;4;-;2;-
68014 Gebesee, Stadt;FDP;10;1;8;1
68049 Schwerstedt;FDP;8;4;5;2
68051 Sömmerda, Stadt;FDP;5;1;1;-
68059 Werningshausen;FDP;4;2;3;2
69043 Schleusingen, Stadt;FDP;7;2;-;-
70004 Arnstadt, Stadt;FDP;12;2;1;-
70029 Ilmenau, Stadt;FDP;9;2;1;-
70048 Stadtilm, Stadt;FDP;6;1;1;-
71001 Apolda, Stadt;FDP;13;3;2;-
71073 Ottstedt a. Berge;FDP;3;-;3;-
72013 Neuhaus am Rennweg, Stadt;FDP;5;1;1;1
72018 Sonneberg, Stadt;FDP;9;2;2;-
72019 Steinach, Stadt;FDP;8;2;2;-
72023 Frankenblick;FDP;2;-;-;-
73076 Rudolstadt, Stadt;FDP;8;2;1;1
73077 Saalfeld/Saale, Stadt;FDP;18;3;3;-
73084 Sitzendorf;FDP;1;-;1;-
73106 Leutenberg, Stadt;FDP;6;2;3;2
73112 Königsee, Stadt;FDP;4;1;1;-
74017 Eineborn;FDP;6;1;6;1
74038 Hartmannsdorf (SHK);FDP;9;1;2;-
74071 Rattelsdorf;FDP;7;2;6;1
74094 Stadtroda, Stadt;FDP;3;-;1;-
75062 Bad Lobenstein, Stadt;FDP;7;5;2;1
75077 Oppurg;FDP;6;3;2;1
75085 Pößneck, Stadt;FDP;24;3;8;-
75098 Schleiz, Stadt;FDP;5;-;1;-
75132 Tanna, Stadt;FDP;8;1;1;-
75135 Saalburg-Ebersdorf, Stadt;FDP;6;1;3;-
76022 Greiz, Stadt;FDP;2;-;1;-
76061 Ronneburg, Stadt;FDP;16;5;5;-
76087 Zeulenroda-Triebes, Stadt;FDP;5;1;1;-
76088 Harth-Pöllnitz;FDP;5;2;1;1
77001 Altenburg, Stadt;FDP;8;1;1;-
77043 Schmölln, Stadt;FDP;3;-;1;-
51000 Erfurt, Stadt;Sonstige;45;6;7;2
52000 Gera, Stadt;Sonstige;67;17;9;3
53000 Jena, Stadt;Sonstige;40;15;5;1
54000 Suhl, Stadt;Sonstige;29;12;7;2
55000 Weimar, Stadt;Sonstige;46;16;8;4
56000 Eisenach, Stadt;Sonstige;39;14;7;1
61001 Arenshausen;Sonstige;6;1;5;1
61002 Asbach-Sickenberg;Sonstige;13;7;6;2
61003 Berlingerode;Sonstige;9;3;4;1
61007 Birkenfelde;Sonstige;18;3;8;2
61012 Bodenrode-Westhausen;Sonstige;10;1;7;1
61014 Bornhagen;Sonstige;22;2;6;-
61015 Brehme;Sonstige;15;2;7;-
61017 Breitenworbis;Sonstige;10;-;7;-
61018 Büttstedt;Sonstige;54;16;1;-
61019 Buhla;Sonstige;4;1;2;-
61021 Burgwalde;Sonstige;9;1;6;1
61023 Dieterode;Sonstige;11;2;6;2
61024 Dietzenrode/Vatterode;Sonstige;11;6;6;2
61026 Ecklingerode;Sonstige;10;3;7;3
61027 Effelder;Sonstige;71;15;12;3
61028 Eichstruth;Sonstige;13;4;6;2
61031 Ferna;Sonstige;30;7;-;-
61032 Freienhagen;Sonstige;11;1;6;1
61033 Fretterode;Sonstige;9;-;6;-
61034 Geisleden;Sonstige;29;5;8;3
61035 Geismar;Sonstige;8;1;7;-
61036 Gerbershausen;Sonstige;13;1;-;-
61037 Gernrode;Sonstige;6;-;5;-
61039 Glasehausen;Sonstige;25;8;6;1
61041 Großbartloff;Sonstige;61;8;-;-
61044 Haynrode;Sonstige;8;2;5;2
61045 Heilbad Heiligenstadt, Stadt;Sonstige;26;9;7;2
61047 Heuthen;Sonstige;6;1;3;1
61048 Hohengandern;Sonstige;16;5;7;-
61049 Hohes Kreuz;Sonstige;3;-;3;-
61056 Kella;Sonstige;33;8;6;1
61057 Kirchgandern;Sonstige;6;-;3;-
61058 Kirchworbis;Sonstige;21;2;12;1
61062 Krombach;Sonstige;11;3;6;1
61063 Küllstedt;Sonstige;12;4;5;1
61065 Lenterode;Sonstige;4;-;4;-
61066 Lindewerra;Sonstige;12;3;6;2
61067 Lutter;Sonstige;3;-;1;-
61068 Mackenrode;Sonstige;4;2;3;1
61069 Marth;Sonstige;6;1;4;-
61074 Niederorschel;Sonstige;43;9;12;2
61075 Pfaffschwende;Sonstige;13;2;6;1
61076 Reinholterode;Sonstige;8;1;4;1
61077 Röhrig;Sonstige;13;3;6;-
61078 Rohrberg;Sonstige;4;-;2;-
61082 Rustenfelde;Sonstige;10;1;2;-
61083 Schachtebich;Sonstige;9;-;6;-
61084 Schönhagen;Sonstige;6;1;5;1
61085 Schwobfeld;Sonstige;6;-;6;-
61086 Sickerode;Sonstige;10;1;6;1
61089 Steinbach;Sonstige;6;1;3;1
61091 Steinheuterode;Sonstige;3;-;2;-
61094 Tastungen;Sonstige;7;-;5;-
61096 Thalwenden;Sonstige;22;7;6;1
61097 Uder;Sonstige;7;2;4;1
61098 Volkerode;Sonstige;10;1;6;1
61102 Wahlhausen;Sonstige;8;-;6;-
61103 Wehnde;Sonstige;10;5;6;4
61105 Wiesenfeld;Sonstige;14;2;6;-
61107 Wingerode;Sonstige;8;-;2;-
61111 Wüstheuterode;Sonstige;14;3;8;1
61113 Schimberg;Sonstige;16;2;8;1
61114 Teistungen;Sonstige;4;-;3;-
61115 Leinefelde-Worbis, Stadt;Sonstige;28;11;4;1
61116 Am Ohmberg;Sonstige;18;2;9;1
61117 Sonnenstein;Sonstige;11;3;7;2
61118 Dingelstädt, Stadt;Sonstige;28;7;5;-
62005 Ellrich, Stadt;Sonstige;10;4;3;1
62008 Görsbach;Sonstige;23;5;12;2
62009 Großlohra;Sonstige;5;1;5;1
62024 Kehmstedt;Sonstige;16;4;6;3
62026 Kleinfurra;Sonstige;15;2;12;2
62033 Lipprechterode;Sonstige;16;6;8;4
62037 Niedergebra;Sonstige;6;2;3;-
62041 Nordhausen, Stadt;Sonstige;6;1;-;-
62049 Sollstedt;Sonstige;6;4;4;2
62054 Urbach;Sonstige;10;1;7;1
62062 Hohenstein;Sonstige;20;3;11;2
62063 Werther;Sonstige;21;3;8;2
62064 Heringen/Helme, Stadt;Sonstige;22;3;8;1
62065 Harztor;Sonstige;20;5;9;2
62066 Bleicherode, Stadt;Sonstige;25;5;8;1
63003 Bad Salzungen, Stadt;Sonstige;28;5;14;2
63004 Barchfeld-Immelborn;Sonstige;35;14;9;3
63006 Berka v. d. Hainich;Sonstige;17;1;8;1
63008 Bischofroda;Sonstige;20;4;8;-
63013 Creuzburg, Stadt;Sonstige;8;1;5;1
63015 Dermbach;Sonstige;44;4;24;-
63019 Ebenshausen;Sonstige;15;1;6;-
63023 Empfertshausen;Sonstige;10;3;5;-
63028 Frankenroda;Sonstige;5;1;4;1
63033 Gerstengrund;Sonstige;1;1;-;-
63037 Hallungen;Sonstige;9;1;6;-
63046 Krauthausen;Sonstige;22;4;12;4
63049 Lauterbach;Sonstige;14;3;8;2
63051 Leimbach;Sonstige;21;3;10;1
63055 Mihla;Sonstige;15;1;9;1
63058 Nazza;Sonstige;14;3;8;2
63062 Oechsen;Sonstige;31;6;8;1
63066 Ruhla, Stadt;Sonstige;25;7;9;1
63068 Schleid;Sonstige;20;5;-;-
63071 Seebach;Sonstige;9;2;5;1
63076 Treffurt, Stadt;Sonstige;33;7;14;2
63082 Vacha, Stadt;Sonstige;50;8;20;3
63084 Weilar;Sonstige;21;6;8;2
63086 Wiesenthal;Sonstige;8;3;7;2
63092 Wutha-Farnroda;Sonstige;37;10;8;2
63094 Moorgrund;Sonstige;5;2;5;2
63097 Gerstungen;Sonstige;42;7;15;2
63098 Hörselberg-Hainich;Sonstige;43;8;20;3
63099 Bad Liebenstein, Stadt;Sonstige;28;6;4;-
63101 Krayenberggemeinde;Sonstige;6;1;5;1
63103 Werra-Suhl-Tal, Stadt;Sonstige;22;3;15;1
64003 Bad Langensalza, Stadt;Sonstige;49;7;10;-
64004 Bad Tennstedt, Stadt;Sonstige;22;1;8;-
64005 Ballhausen;Sonstige;19;3;8;-
64007 Blankenburg;Sonstige;9;3;6;2
64008 Bothenheilingen;Sonstige;14;3;6;1
64009 Bruchstedt;Sonstige;19;8;6;1
64014 Dünwald;Sonstige;4;1;4;1
64019 Großvargula;Sonstige;13;2;8;1
64021 Haussömmern;Sonstige;21;1;6;-
64022 Herbsleben;Sonstige;18;8;6;2
64027 Hornsömmern;Sonstige;15;2;6;1
64029 Issersheilingen;Sonstige;9;1;6;1
64032 Kammerforst;Sonstige;29;9;8;2
64033 Kirchheilingen;Sonstige;27;4;8;1
64035 Kleinwelsbach;Sonstige;8;4;6;2
64037 Körner;Sonstige;10;1;8;1
64038 Kutzleben;Sonstige;8;2;5;2
64043 Marolterode;Sonstige;26;6;6;2
64045 Mittelsömmern;Sonstige;16;5;6;2
64046 Mühlhausen/Thüringen, Stadt;Sonstige;67;10;10;1
64048 Neunheilingen;Sonstige;14;2;6;-
64052 Obermehler;Sonstige;33;8;-;-
64053 Oppershausen;Sonstige;5;1;4;1
64055 Rodeberg;Sonstige;16;3;6;1
64057 Schlotheim, Stadt;Sonstige;2;-;2;-
64058 Schönstedt;Sonstige;5;2;4;1
64061 Sundhausen;Sonstige;18;2;6;-
64062 Tottleben;Sonstige;7;2;6;1
64064 Urleben;Sonstige;27;10;6;1
64071 Unstruttal;Sonstige;22;4;9;-
64072 Menteroda;Sonstige;12;1;8;1
64073 Anrode;Sonstige;8;1;6;1
64074 Südeichsfeld;Sonstige;36;1;9;-
64075 Vogtei;Sonstige;36;5;13;2
64076 Unstrut-Hainich;Sonstige;33;3;15;1
65001 Abtsbessingen;Sonstige;10;4;4;1
65003 Bad Frankenhausen/Kyffhäuser, Stadt;Sonstige;18;4;6;2
65005 Bellstedt;Sonstige;29;11;6;3
65008 Borxleben;Sonstige;6;-;6;-
65012 Clingen, Stadt;Sonstige;4;1;1;-
65014 Ebeleben, Stadt;Sonstige;24;7;12;2
65016 Etzleben;Sonstige;11;4;6;1
65018 Freienbessingen;Sonstige;9;3;6;1
65019 Gehofen;Sonstige;17;5;8;3
65023 Greußen, Stadt;Sonstige;3;1;1;1
65032 Helbedündorf;Sonstige;20;10;7;2
65038 Holzsußra;Sonstige;11;3;6;1
65042 Kalbsrieth;Sonstige;10;1;8;-
65046 Mönchpfiffel-Nikolausrieth;Sonstige;6;2;5;2
65048 Niederbösa;Sonstige;11;3;6;2
65051 Oberbösa;Sonstige;18;3;6;2
65052 Oberheldrungen;Sonstige;13;8;8;4
65056 Reinsdorf;Sonstige;10;2;8;2
65058 Rockstedt;Sonstige;10;1;6;-
65067 Sondershausen, Stadt;Sonstige;68;14;14;2
65072 Thüringenhausen;Sonstige;30;16;6;3
65074 Topfstedt;Sonstige;16;5;8;3
65075 Trebra;Sonstige;6;1;5;1
65077 Wasserthaleben;Sonstige;18;2;6;1
65079 Westgreußen;Sonstige;11;3;5;2
65082 Wolferschwenda;Sonstige;12;3;6;1
65084 Großenehrich, Stadt;Sonstige;27;6;14;4
65085 Kyffhäuserland;Sonstige;41;9;10;-
65086 Artern, Stadt;Sonstige;34;15;7;2
65087 Roßleben-Wiehe, Stadt;Sonstige;50;11;4;-
65088 An der Schmücke, Stadt;Sonstige;28;3;9;-
66005 Belrieth;Sonstige;8;-;5;-
66012 Birx;Sonstige;16;3;6;1
66013 Breitungen/Werra;Sonstige;23;5;7;1
66015 Christes;Sonstige;13;3;5;2
66016 Dillstädt;Sonstige;33;11;8;2
66017 Einhausen;Sonstige;9;3;5;1
66018 Ellingshausen;Sonstige;5;-;-;-
66019 Erbenhausen;Sonstige;11;3;8;3
66022 Fambach;Sonstige;12;1;6;-
66024 Frankenheim/Rhön;Sonstige;39;9;12;1
66025 Friedelshausen;Sonstige;24;5;6;1
66038 Kühndorf;Sonstige;32;13;8;2
66039 Leutersdorf;Sonstige;3;2;2;1
66041 Mehmels;Sonstige;11;1;6;-
66042 Meiningen, Stadt;Sonstige;38;11;5;-
66045 Neubrunn;Sonstige;6;-;2;-
66047 Oberhof, Stadt;Sonstige;25;7;12;3
66049 Obermaßfeld-Grimmenthal;Sonstige;18;3;11;1
66052 Oberweid;Sonstige;11;1;8;1
66056 Rippershausen;Sonstige;15;4;8;2
66057 Ritschenhausen;Sonstige;12;4;6;1
66058 Rohr;Sonstige;6;-;5;-
66059 Rosa;Sonstige;7;1;-;-
66061 Roßdorf;Sonstige;6;2;-;-
