Gemeinderatswahl 2019 in Thüringen - endgültiges Ergebnis;;;;;
66063 Schmalkalden, Kurort, Stadt;Sonstige;10;2;2;1
66064 Schwallungen;Sonstige;10;3;5;1
66065 Schwarza;Sonstige;26;11;12;4
66069 Steinbach-Hallenberg, Kurort, Stadt;Sonstige;40;6;11;2
66071 Stepfershausen;Sonstige;10;3;8;2
66073 Sülzfeld;Sonstige;15;4;7;2
66074 Brotterode-Trusetal, Stadt;Sonstige;35;7;11;1
66076 Untermaßfeld;Sonstige;18;2;12;1
66079 Utendorf;Sonstige;17;5;6;1
66081 Vachdorf;Sonstige;5;-;4;-
66086 Wasungen, Stadt;Sonstige;38;8;15;4
66092 Zella-Mehlis, Stadt;Sonstige;48;13;12;2
66093 Rhönblick;Sonstige;29;4;13;2
66094 Grabfeld;Sonstige;11;6;8;4
66095 Kaltennordheim, Stadt;Sonstige;58;14;20;2
67004 Bienstädt;Sonstige;3;-;-;-
67011 Döllstädt;Sonstige;14;6;8;3
67013 Emleben;Sonstige;21;10;6;2
67016 Eschenbergen;Sonstige;8;2;3;2
67019 Friedrichroda, Stadt;Sonstige;23;8;8;-
67022 Friemar;Sonstige;7;3;6;2
67025 Georgenthal/Thür. Wald;Sonstige;19;3;9;1
67026 Gierstädt;Sonstige;13;4;6;1
67029 Gotha, Stadt;Sonstige;36;13;4;2
67033 Großfahner;Sonstige;11;1;8;1
67036 Herrenhof;Sonstige;10;3;5;2
67039 Hohenkirchen;Sonstige;1;-;1;-
67047 Molschleben;Sonstige;13;3;9;2
67052 Nottleben;Sonstige;8;3;6;3
67053 Ohrdruf, Stadt;Sonstige;26;5;5;1
67054 Petriroda;Sonstige;9;2;6;2
67055 Pferdingsleben;Sonstige;13;4;6;1
67059 Schwabhausen;Sonstige;7;2;4;1
67063 Sonneborn;Sonstige;12;2;8;1
67064 Bad Tabarz;Sonstige;82;13;16;2
67065 Tambach-Dietharz/Thür. Wald, Stadt;Sonstige;22;3;9;-
67067 Tonna;Sonstige;18;-;10;-
67068 Tröchtelborn;Sonstige;13;2;6;-
67071 Tüttleben;Sonstige;5;2;2;-
67072 Waltershausen, Stadt;Sonstige;39;6;6;1
67082 Zimmernsupra;Sonstige;8;4;5;2
67087 Nesse-Apfelstädt;Sonstige;34;8;11;1
67088 Hörsel;Sonstige;11;-;9;-
67091 Nessetal;Sonstige;27;2;14;-
68001 Alperstedt;Sonstige;11;2;8;1
68002 Andisleben;Sonstige;14;6;7;4
68005 Büchel;Sonstige;13;2;6;1
68007 Eckstedt;Sonstige;18;2;-;-
68009 Elxleben (SÖM);Sonstige;7;2;4;2
68013 Gangloffsömmern;Sonstige;10;2;8;2
68015 Griefstedt;Sonstige;9;3;6;3
68017 Großmölsen;Sonstige;7;2;6;2
68019 Großneuhausen;Sonstige;17;4;8;-
68021 Großrudestedt;Sonstige;15;4;7;1
68022 Günstedt;Sonstige;18;7;8;2
68025 Haßleben;Sonstige;34;7;12;4
68026 Henschleben;Sonstige;19;6;6;1
68032 Kleinmölsen;Sonstige;7;3;6;3
68033 Kleinneuhausen;Sonstige;1;-;-;-
68034 Kölleda, Stadt;Sonstige;34;12;10;3
68036 Markvippach;Sonstige;56;9;8;5
68037 Nöda;Sonstige;6;1;2;-
68039 Ollendorf;Sonstige;17;5;6;2
68041 Ostramondra;Sonstige;14;3;6;2
68042 Rastenberg, Stadt;Sonstige;19;6;12;4
68043 Riethgen;Sonstige;14;4;6;2
68044 Riethnordhausen;Sonstige;8;-;7;-
68045 Ringleben;Sonstige;17;6;6;2
68048 Schloßvippach;Sonstige;31;9;12;5
68049 Schwerstedt;Sonstige;8;1;3;-
68051 Sömmerda, Stadt;Sonstige;28;6;3;-
68052 Sprötau;Sonstige;20;3;8;1
68053 Straußfurt;Sonstige;12;4;7;2
68055 Udestedt;Sonstige;13;3;8;2
68056 Vogelsberg;Sonstige;15;3;8;1
68057 Walschleben;Sonstige;4;1;4;1
68058 Weißensee, Stadt;Sonstige;17;5;5;1
68059 Werningshausen;Sonstige;11;5;5;1
68061 Witterda;Sonstige;9;2;5;2
68062 Wundersleben;Sonstige;11;1;6;1
68063 Buttstädt;Sonstige;17;4;6;2
68064 Kindelbrück;Sonstige;45;10;15;2
69001 Ahlstädt;Sonstige;15;5;6;2
69003 Beinerstadt;Sonstige;9;-;5;-
69004 Bischofrod;Sonstige;15;4;6;2
69006 Brünn/Thür.;Sonstige;9;2;6;1
69008 Dingsleben;Sonstige;7;2;6;2
69009 Ehrenberg;Sonstige;14;4;6;1
69011 Eichenberg (HBN);Sonstige;15;5;6;1
69012 Eisfeld, Stadt;Sonstige;33;5;12;1
69016 Grimmelshausen;Sonstige;11;2;6;1
69017 Grub;Sonstige;58;22;6;1
69021 Henfstädt;Sonstige;9;4;6;3
69024 Hildburghausen, Stadt;Sonstige;33;5;5;-
69025 Kloster Veßra;Sonstige;14;2;6;1
69026 Lengfeld;Sonstige;9;1;6;1
69028 Marisfeld;Sonstige;10;4;6;2
69035 Oberstadt;Sonstige;9;1;5;1
69037 Reurieth;Sonstige;18;7;8;3
69041 Schlechtsart;Sonstige;11;1;6;-
69042 Schleusegrund;Sonstige;17;2;10;1
69043 Schleusingen, Stadt;Sonstige;51;10;11;1
69044 Schmeheim;Sonstige;10;1;6;1
69046 Schweickershausen;Sonstige;29;9;6;3
69047 St.Bernhard;Sonstige;9;6;6;4
69049 Straufhain;Sonstige;20;1;12;1
69051 Themar, Stadt;Sonstige;19;2;10;1
69052 Ummerstadt, Stadt;Sonstige;37;9;6;1
69053 Veilsdorf;Sonstige;39;5;13;3
69056 Westhausen;Sonstige;16;3;7;1
69058 Auengrund;Sonstige;46;5;14;-
69061 Masserberg;Sonstige;15;5;6;1
69062 Römhild, Stadt;Sonstige;46;9;17;4
69063 Heldburg, Stadt;Sonstige;25;5;9;1
70001 Alkersleben;Sonstige;8;2;6;2
70003 Angelroda;Sonstige;19;4;6;3
70004 Arnstadt, Stadt;Sonstige;58;14;12;3
70006 Bösleben-Wüllersleben;Sonstige;27;2;8;1
70008 Dornheim;Sonstige;35;11;8;5
70011 Elgersburg;Sonstige;13;1;7;-
70012 Elleben;Sonstige;14;2;8;2
70013 Elxleben (IK);Sonstige;5;-;3;-
70028 Amt Wachsenburg;Sonstige;56;16;16;2
70029 Ilmenau, Stadt;Sonstige;112;33;15;4
70034 Martinroda;Sonstige;8;2;6;2
70041 Osthausen-Wülfershausen;Sonstige;10;2;6;1
70043 Plaue, Stadt;Sonstige;19;5;7;1
70044 Rockhausen;Sonstige;16;6;6;2
70048 Stadtilm, Stadt;Sonstige;36;5;10;2
70057 Geratal;Sonstige;38;9;10;2
70058 Großbreitenbach, Stadt;Sonstige;118;24;30;4
71001 Apolda, Stadt;Sonstige;13;3;7;1
71003 Bad Berka, Stadt;Sonstige;71;18;14;3
71004 Bad Sulza, Stadt;Sonstige;34;9;11;2
71005 Ballstedt;Sonstige;15;3;6;2
71006 Bechstedtstraß;Sonstige;13;2;6;1
71008 Blankenhain, Stadt;Sonstige;21;5;5;1
71009 Buchfart;Sonstige;8;1;6;1
71012 Daasdorf a. Berge;Sonstige;5;1;5;1
71013 Döbritschen;Sonstige;68;22;6;3
71015 Eberstedt;Sonstige;1;-;1;-
71017 Ettersburg;Sonstige;11;2;7;2
71019 Frankendorf;Sonstige;11;2;6;1
71022 Großheringen;Sonstige;5;3;2;-
71025 Großschwabhausen;Sonstige;12;-;9;-
71027 Hammerstedt;Sonstige;22;5;6;3
71031 Hetschburg;Sonstige;12;2;6;1
71032 Hohenfelden;Sonstige;9;3;6;2
71034 Hopfgarten;Sonstige;14;5;5;-
71036 Isseroda;Sonstige;9;3;6;2
71037 Kapellendorf;Sonstige;10;1;6;1
71038 Kiliansroda;Sonstige;17;3;6;2
71042 Kleinschwabhausen;Sonstige;9;-;6;-
71043 Klettbach;Sonstige;15;2;9;1
71046 Kranichfeld, Stadt;Sonstige;24;4;12;1
71049 Lehnstedt;Sonstige;25;8;6;1
71053 Magdala, Stadt;Sonstige;23;5;12;2
71055 Mechelroda;Sonstige;36;9;6;1
71056 Mellingen;Sonstige;40;9;12;2
71057 Mönchenholzhausen;Sonstige;16;1;12;1
71059 Nauendorf;Sonstige;17;7;6;2
71061 Neumark, Stadt;Sonstige;13;2;6;1
71064 Niedertrebra;Sonstige;8;3;5;1
71065 Niederzimmern;Sonstige;22;7;12;3
71067 Nohra;Sonstige;32;6;11;2
71069 Obertrebra;Sonstige;14;5;6;2
71071 Oettern;Sonstige;41;15;6;-
71073 Ottstedt a. Berge;Sonstige;2;1;2;1
71077 Rannstedt;Sonstige;23;7;6;3
71079 Rittersdorf;Sonstige;13;3;6;1
71083 Schmiedehausen;Sonstige;8;-;6;-
71087 Tonndorf;Sonstige;7;1;4;-
71088 Troistedt;Sonstige;11;3;6;3
71089 Umpferstedt;Sonstige;8;2;5;1
71093 Vollersroda;Sonstige;14;4;6;1
71095 Wiegendorf;Sonstige;13;4;6;3
71099 Saaleplatte;Sonstige;15;1;11;1
71101 Ilmtal-Weinstraße;Sonstige;34;8;20;4
71102 Am Ettersberg, Stadt;Sonstige;28;9;20;5
72001 Bachfeld;Sonstige;6;-;6;-
72006 Goldisthal;Sonstige;7;1;6;1
72011 Lauscha, Stadt;Sonstige;8;2;4;1
72013 Neuhaus am Rennweg, Stadt;Sonstige;25;6;3;-
72015 Schalkau, Stadt;Sonstige;15;1;7;1
72018 Sonneberg, Stadt;Sonstige;8;3;1;-
72019 Steinach, Stadt;Sonstige;10;2;4;-
72023 Frankenblick;Sonstige;33;9;13;3
73001 Allendorf;Sonstige;9;1;6;-
73002 Altenbeuthen;Sonstige;6;2;-;-
73005 Bad Blankenburg, Stadt;Sonstige;17;5;8;2
73006 Bechstedt;Sonstige;10;2;6;2
73013 Cursdorf;Sonstige;37;5;8;1
73014 Deesbach;Sonstige;24;7;6;1
73017 Döschnitz;Sonstige;10;-;6;-
73028 Gräfenthal, Stadt;Sonstige;13;2;10;-
73035 Hohenwarte;Sonstige;7;1;6;1
73037 Katzhütte;Sonstige;21;6;11;2
73038 Kaulsdorf;Sonstige;12;4;8;3
73046 Lehesten, Stadt;Sonstige;25;1;10;1
73055 Meura;Sonstige;12;4;6;2
73067 Probstzella;Sonstige;8;2;6;1
73074 Rohrbach;Sonstige;13;6;6;3
73076 Rudolstadt, Stadt;Sonstige;38;7;9;2
73077 Saalfeld/Saale, Stadt;Sonstige;33;13;3;1
73082 Schwarzburg;Sonstige;11;1;8;1
73084 Sitzendorf;Sonstige;10;2;5;1
73094 Unterweißbach;Sonstige;21;5;8;-
73106 Leutenberg, Stadt;Sonstige;11;3;7;2
73107 Drognitz;Sonstige;22;6;8;1
73109 Uhlstädt-Kirchhasel;Sonstige;16;3;9;2
73111 Unterwellenborn;Sonstige;20;7;11;4
73112 Königsee, Stadt;Sonstige;62;7;16;3
73113 Schwarzatal, Stadt;Sonstige;46;7;13;3
74001 Albersdorf;Sonstige;9;2;6;2
74002 Altenberga;Sonstige;16;5;8;1
74003 Bad Klosterlausnitz;Sonstige;21;3;11;1
74004 Bibra;Sonstige;10;1;6;1
74005 Bobeck;Sonstige;6;1;5;1
74007 Bremsnitz;Sonstige;13;2;6;2
74008 Bucha;Sonstige;19;1;10;1
74009 Bürgel, Stadt;Sonstige;10;3;7;1
74011 Dornburg-Camburg, Stadt;Sonstige;36;7;12;1
74012 Crossen an der Elster;Sonstige;35;8;7;-
74016 Eichenberg (SHK);Sonstige;6;-;3;-
74017 Eineborn;Sonstige;8;-;-;-
74018 Eisenberg, Stadt;Sonstige;15;5;5;2
74019 Frauenprießnitz;Sonstige;40;5;8;1
74021 Freienorla;Sonstige;11;3;6;2
74022 Geisenhain;Sonstige;23;5;6;1
74024 Gneus;Sonstige;3;1;2;1
74025 Gösen;Sonstige;9;4;-;-
74026 Golmsdorf;Sonstige;21;3;8;2
74028 Graitschen b. Bürgel;Sonstige;13;4;6;2
74029 Großbockedra;Sonstige;10;1;6;1
74031 Großeutersdorf;Sonstige;11;3;6;1
74032 Großlöbichau;Sonstige;21;6;-;-
74033 Großpürschütz;Sonstige;14;7;6;2
74034 Gumperda;Sonstige;6;-;5;-
74036 Hainichen;Sonstige;15;6;6;2
74037 Hainspitz;Sonstige;23;7;8;2
74038 Hartmannsdorf (SHK);Sonstige;11;3;6;2
74039 Heideland;Sonstige;13;5;7;3
74041 Hermsdorf, Stadt;Sonstige;20;6;9;1
74042 Hummelshain;Sonstige;6;2;4;1
74043 Jenalöbnitz;Sonstige;13;3;6;-
74044 Kahla, Stadt;Sonstige;14;2;10;2
74045 Karlsdorf;Sonstige;29;8;6;-
74046 Kleinbockedra;Sonstige;17;6;6;2
74047 Kleinebersdorf;Sonstige;20;6;6;2
74048 Kleineutersdorf;Sonstige;15;-;6;-
74049 Laasdorf;Sonstige;17;2;8;2
74051 Lehesten;Sonstige;20;4;8;2
74052 Lindig;Sonstige;8;4;6;2
74053 Lippersdorf-Erdmannsdorf;Sonstige;15;8;6;3
74054 Löberschütz;Sonstige;11;1;6;1
74055 Mertendorf;Sonstige;20;3;6;-
74056 Meusebach;Sonstige;10;3;6;3
74057 Milda;Sonstige;6;2;3;1
74058 Möckern;Sonstige;14;3;6;2
74059 Mörsdorf;Sonstige;13;4;8;2
74061 Nausnitz;Sonstige;10;6;6;3
74063 Neuengönna;Sonstige;21;1;8;-
74064 Oberbodnitz;Sonstige;8;1;5;1
74065 Orlamünde, Stadt;Sonstige;13;2;9;2
74066 Ottendorf;Sonstige;4;1;4;1
74067 Petersberg;Sonstige;11;4;6;2
74068 Poxdorf;Sonstige;9;2;6;2
74072 Rauda;Sonstige;17;6;-;-
74073 Rauschwitz;Sonstige;12;1;6;-
74074 Rausdorf;Sonstige;21;7;6;3
74075 Reichenbach;Sonstige;18;4;8;1
74076 Reinstädt;Sonstige;12;3;6;1
74077 Renthendorf;Sonstige;6;-;6;-
74079 Rothenstein;Sonstige;15;3;12;3
74081 Ruttersdorf-Lotschen;Sonstige;8;2;6;1
74082 Scheiditz;Sonstige;8;1;6;1
74084 Schleifreisen;Sonstige;28;6;6;2
74085 Schlöben;Sonstige;23;6;8;3
74086 Schöngleina;Sonstige;14;4;8;-
74087 Schöps;Sonstige;9;-;6;-
74089 Seitenroda;Sonstige;11;-;6;-
74091 Serba;Sonstige;17;4;8;4
74093 St.Gangloff;Sonstige;27;6;12;2
74094 Stadtroda, Stadt;Sonstige;22;6;10;2
74095 Sulza;Sonstige;9;3;5;1
74096 Tautenburg;Sonstige;27;8;6;2
74097 Tautendorf;Sonstige;20;5;6;1
74098 Tautenhain;Sonstige;20;3;7;-
74099 Thierschneck;Sonstige;9;2;6;-
74101 Tissa;Sonstige;8;1;6;-
74102 Trockenborn-Wolfersdorf;Sonstige;7;-;3;-
74103 Tröbnitz;Sonstige;16;2;-;-
74104 Unterbodnitz;Sonstige;13;4;6;-
74105 Waldeck;Sonstige;11;1;6;1
74106 Walpernhain;Sonstige;12;4;6;2
74107 Waltersdorf;Sonstige;12;4;6;2
74108 Weißbach;Sonstige;10;-;6;-
74109 Weißenborn;Sonstige;11;2;8;1
74112 Wichmar;Sonstige;46;17;6;1
74113 Zimmern;Sonstige;23;4;6;-
74114 Zöllnitz;Sonstige;9;3;3;-
74116 Schkölen, Stadt;Sonstige;17;6;9;3
75006 Bodelwitz;Sonstige;15;6;-;-
75009 Burgk;Sonstige;17;8;4;2
75014 Dittersdorf;Sonstige;23;4;6;1
75016 Döbritz;Sonstige;10;2;6;2
75018 Dreba;Sonstige;18;4;6;1
75019 Dreitzsch;Sonstige;8;-;6;-
75029 Geroda;Sonstige;11;4;6;3
75031 Gertewitz;Sonstige;13;2;6;1
75033 Görkwitz;Sonstige;12;3;6;1
75034 Göschitz;Sonstige;8;2;6;2
75035 Gössitz;Sonstige;5;-;5;-
75039 Grobengereuth;Sonstige;9;2;6;1
75046 Hirschberg, Stadt;Sonstige;13;1;10;1
75047 Keila;Sonstige;14;3;6;1
75048 Kirschkau;Sonstige;7;3;6;2
75049 Knau;Sonstige;9;4;8;3
75051 Kospoda;Sonstige;26;7;6;1
75054 Langenorla;Sonstige;25;3;12;2
75056 Lausnitz b. Neustadt an der Orla;Sonstige;11;3;6;3
75057 Lemnitz;Sonstige;11;3;6;2
75061 Linda b. Neustadt an der Orla;Sonstige;5;1;2;-
75062 Bad Lobenstein, Stadt;Sonstige;30;4;12;1
75063 Löhma;Sonstige;11;2;6;-
75065 Miesitz;Sonstige;11;3;6;1
75066 Mittelpöllnitz;Sonstige;8;-;6;-
75068 Moßbach;Sonstige;8;4;6;4
75069 Moxa;Sonstige;20;6;6;-
75072 Neundorf (bei Schleiz);Sonstige;7;-;6;-
75073 Neustadt an der Orla, Stadt;Sonstige;34;10;11;1
75074 Nimritz;Sonstige;8;1;5;-
75075 Oberoppurg;Sonstige;8;-;6;-
75076 Oettersdorf;Sonstige;7;4;6;3
75077 Oppurg;Sonstige;18;2;10;2
75079 Paska;Sonstige;10;2;6;1
75081 Peuschen;Sonstige;8;-;6;-
75083 Plothen;Sonstige;16;1;6;1
75084 Pörmitz;Sonstige;14;1;6;-
75085 Pößneck, Stadt;Sonstige;36;8;4;1
75087 Quaschwitz;Sonstige;13;3;6;-
75088 Ranis, Stadt;Sonstige;19;2;9;1
75093 Rosendorf;Sonstige;8;1;6;-
75098 Schleiz, Stadt;Sonstige;38;4;9;1
75099 Schmieritz;Sonstige;7;-;4;-
75101 Schmorda;Sonstige;25;9;6;1
75102 Schöndorf;Sonstige;42;16;6;2
75103 Seisla;Sonstige;24;8;6;1
75105 Solkwitz;Sonstige;13;4;6;1
75109 Tegau;Sonstige;9;2;6;1
75114 Tömmelsdorf;Sonstige;8;-;6;-
75116 Triptis, Stadt;Sonstige;35;9;11;-
75119 Volkmannsdorf;Sonstige;13;2;6;-
75121 Weira;Sonstige;42;6;6;1
75124 Wernburg;Sonstige;8;3;6;2
75125 Wilhelmsdorf;Sonstige;12;4;6;-
75127 Ziegenrück, Stadt;Sonstige;10;3;8;2
75129 Krölpa;Sonstige;30;4;14;2
75131 Gefell, Stadt;Sonstige;17;4;13;3
75132 Tanna, Stadt;Sonstige;24;6;9;1
75133 Wurzbach, Stadt;Sonstige;26;2;15;2
75134 Remptendorf;Sonstige;8;-;7;-
75135 Saalburg-Ebersdorf, Stadt;Sonstige;8;2;4;2
75136 Rosenthal am Rennsteig;Sonstige;19;3;14;2
76003 Bad Köstritz, Stadt;Sonstige;10;2;6;1
76004 Berga/Elster, Stadt;Sonstige;10;3;6;2
76006 Bethenhausen;Sonstige;17;4;6;1
76007 Bocka;Sonstige;6;-;5;-
76008 Brahmenau;Sonstige;26;4;8;2
76009 Braunichswalde;Sonstige;16;4;-;-
76012 Caaschwitz;Sonstige;17;5;8;3
76014 Crimla;Sonstige;8;4;6;2
76017 Endschütz;Sonstige;12;2;6;2
76019 Gauern;Sonstige;25;8;6;1
76022 Greiz, Stadt;Sonstige;55;15;17;5
76023 Großenstein;Sonstige;19;5;12;2
76026 Hartmannsdorf (GRZ);Sonstige;16;2;6;-
76027 Hilbersdorf;Sonstige;9;3;6;3
76028 Hirschfeld;Sonstige;12;1;6;-
76029 Hohenleuben, Stadt;Sonstige;15;5;12;3
76033 Hundhaupten;Sonstige;13;4;6;2
76034 Kauern;Sonstige;16;3;6;2
76036 Korbußen;Sonstige;19;8;6;2
76038 Kühdorf;Sonstige;12;4;6;2
76039 Langenwetzendorf;Sonstige;23;-;9;-
76041 Langenwolschendorf;Sonstige;12;1;3;-
76042 Lederhose;Sonstige;13;3;6;1
76043 Linda b. Weida;Sonstige;22;6;6;1
76044 Lindenkreuz;Sonstige;9;-;6;-
76049 Münchenbernsdorf, Stadt;Sonstige;23;2;9;-
76052 Neumühle/Elster;Sonstige;10;3;6;2
76055 Paitzdorf;Sonstige;7;2;6;2
76058 Pölzig;Sonstige;14;1;12;1
76059 Reichstädt;Sonstige;11;1;6;1
76062 Rückersdorf;Sonstige;11;3;8;2
76064 Saara;Sonstige;16;5;6;3
76067 Schwaara;Sonstige;20;4;6;1
76068 Schwarzbach;Sonstige;12;1;6;-
76069 Seelingstädt;Sonstige;16;4;9;2
76074 Teichwitz;Sonstige;10;5;6;2
76079 Weida, Stadt;Sonstige;36;6;11;1
76081 Weißendorf;Sonstige;14;3;6;1
76084 Wünschendorf/Elster;Sonstige;47;3;14;-
76086 Zedlitz;Sonstige;30;9;8;2
76087 Zeulenroda-Triebes, Stadt;Sonstige;41;13;10;2
76088 Harth-Pöllnitz;Sonstige;24;2;9;-
76089 Kraftsdorf;Sonstige;47;5;11;1
76092 Auma-Weidatal, Stadt;Sonstige;27;4;8;1
76093 Mohlsdorf-Teichwolframsdorf;Sonstige;12;1;6;1
77001 Altenburg, Stadt;Sonstige;62;22;14;2
77003 Dobitschen;Sonstige;17;3;6;-
77005 Fockendorf;Sonstige;9;1;8;-
77007 Gerstenberg;Sonstige;8;-;8;-
77008 Göhren;Sonstige;12;4;6;1
77009 Göllnitz;Sonstige;8;2;6;2
77011 Göpfersdorf;Sonstige;9;-;6;-
77012 Gößnitz, Stadt;Sonstige;45;16;11;2
77015 Haselbach;Sonstige;4;-;4;-
77016 Heukewalde;Sonstige;6;1;4;1
77017 Heyersdorf;Sonstige;7;2;6;2
77018 Jonaswalde;Sonstige;6;-;5;-
77022 Kriebitzsch;Sonstige;6;1;4;1
77023 Langenleuba-Niederhain;Sonstige;24;3;11;1
77026 Löbichau;Sonstige;11;3;8;2
77027 Lödla;Sonstige;10;1;5;1
77028 Lucka, Stadt;Sonstige;33;12;12;3
77031 Mehna;Sonstige;12;5;6;1
77032 Meuselwitz, Stadt;Sonstige;36;12;10;3
77034 Monstab;Sonstige;7;2;6;1
77036 Nobitz;Sonstige;40;5;10;1
77039 Ponitz;Sonstige;11;1;2;-
77041 Posterstein;Sonstige;4;-;4;-
77042 Rositz;Sonstige;11;1;6;-
77043 Schmölln, Stadt;Sonstige;57;11;13;2
77044 Starkenberg;Sonstige;17;1;12;1
77047 Thonhausen;Sonstige;9;-;7;-
77048 Treben;Sonstige;19;5;-;-
77049 Vollmershain;Sonstige;5;2;5;2
77052 Windischleuba;Sonstige;6;1;4;1
Thüringen;Insgesamt;18996;4560;7125;1440
